UserID,AgrImpressions
0,4990
AMsySZY---305JQycsGhKdYLxEjV,3
AMsySZY-0ozxeV2-sPc4nC0reKKp,2
AMsySZY-10rSVTYcVEn1RgwABxul,2
AMsySZY-2mTC5RvrSAxG9dkAyOMG,9
AMsySZY-2teT7InawUR4Wmxmw4Us,2
AMsySZY-7YprMioXxVtTwXv---Oc,2
AMsySZY-8EPkrSLN5vq8OZjqn4TA,6
AMsySZY-8TW9ugbouNLqRqroUHnW,1
AMsySZY-BhSmO_ppMv7AAn5QCqL9,3
AMsySZY-C9oZkr_4-0FYh3sSHHzS,2
AMsySZY-CbOH3yLLflJlRFZWGDvo,1
AMsySZY-CbnbY3KZRjj8m0PuPsQP,2
AMsySZY-EGIgmqBy2-j3Po5QCssY,1
AMsySZY-FLgxXQ8bWJwnaRZdtik7,1
AMsySZY-G0eHhdcvUet5Gv5ihXrG,3
AMsySZY-HO1Drv3dw-i5wsmWG_GZ,1
AMsySZY-HwhjGHhwfAf-PCJRJShx,2
AMsySZY-ItlonO33clwGssgtdaFj,2
AMsySZY-Iylcp0vBDZA4QS-KXkrR,5
AMsySZY-LqkeZWp0TZDVLeeaq2nE,2
AMsySZY-LuKT7MHRJARb8AMWuM08,3
AMsySZY-MB5HOBFfaMTg-k4tbBTM,3
AMsySZY-MpiGTuQKt40lFkScNGMM,2
AMsySZY-ODOVCgpgWFjTWJ0MY_tF,2
AMsySZY-OVas4oBT-22_v0lae-BC,3
AMsySZY-Of2kKhmBprkn_7UYNYd4,2
AMsySZY-OwaiV96dCRHfUtkS1I_0,3
AMsySZY-QB1dMoWcUVh9rDWfu1Yj,2
AMsySZY-QYQg1q0-izi5FOUNb-g1,1
AMsySZY-RCGi9Lr5OAq3h_rqlSRJ,1
AMsySZY-RasSDHAmJjGLRQtci8-6,3
AMsySZY-RsmJJlhgxR024MSVEGmM,3
AMsySZY-SQusMbq1T7uu98UajtBW,2
AMsySZY-SUkE7szOpEa3LoQHq8F6,1
AMsySZY-SXgJEDIOfxnAmZu1SsKv,5
AMsySZY-V75B-MzzYEVxabI23l4l,2
AMsySZY-VeW_lBZDTolSR0Y5MrUx,5
AMsySZY-VvSct-thUX8mHWZiXyN8,2
AMsySZY-Xl9bWTKmMmNI8SE8YZGg,3
AMsySZY-YaZ9Todm60FFPgLEBG7A,2
AMsySZY-YciVn55IniB1qp3f2rqK,2
AMsySZY-YxkGBBBbsxyJVuALJiri,2
AMsySZY-ZDezdrbbNswD2vyUAu5S,2
AMsySZY-ZWe0vwWcbv4thOlyyRYX,2
AMsySZY-aIoFA6ILq0U9N_rwy_t2,2
AMsySZY-axIPSSXmhHS4aIBFaYU1,4
AMsySZY-cGBCLrSirfNnbjPdVx4l,1
AMsySZY-dJmIid78bISAploZ0EBw,2
AMsySZY-dg6j50-lEsJ_68EFQ621,1
AMsySZY-dpHC4vZY4LHveBMlumIn,3
AMsySZY-e0t8n3jMkcN_VkQpuo0s,1
AMsySZY-e54ci33vKhkr9mHlH03v,2
AMsySZY-eMYcAaSWBrBXkC6mxL1W,3
