UserID,AgrImpressions
0,4990
AMsySZY-0059mzvN141z52LpFKCR,2
AMsySZY-0VypoVRPE7e512vNO3AF,2
AMsySZY-A4FoIOVDOVcmlbN0xSZO,5
AMsySZY-A8rmXkJznylXJiaA4Iz7,20
AMsySZY-AKHG77ZUg99lLDThl47s,8
AMsySZY-B2bm9U-wRtT_6ZhVCAWF,14
AMsySZY-B4HXsel-1bqzq76bUUum,6
AMsySZY-DCzBD0wtNcxCpES3QGxK,2
AMsySZY-E5V28VUCXt9-DwhwY03r,4
AMsySZY-EspAhO9cRZBwtX57nKq5,3
AMsySZY-GHKIAdNeC9XKXY6KiAFm,1
AMsySZY-HW8KUHIDoZnz20I8H59z,5
AMsySZY-K4Uri_Or4TMP3ux53pMZ,4
AMsySZY-MlKGbSrhOEz7WSSHx3Hg,2
AMsySZY-NI2GTkKNVXqDGn7vrB-t,6
AMsySZY-Ngqd5-wftUrShUCDoN1a,7
AMsySZY-Pi705hGyohwK6LUo0ZaQ,6
AMsySZY-QnXzoFkYoEwMqtudZwNq,9
AMsySZY-Rq6-VGDgRNJ80DTT5kjm,2
AMsySZY-SsWO1B45ZTbl6oSZLJoe,7
AMsySZY-Tp7QJNMhB6NJpBra5UFD,10
AMsySZY-Uw3oEMggiYVl12paS2z9,3
AMsySZY-VGlxJcBXaz6DgYYXK5-I,4
AMsySZY-VKXFCA8YcT77orXxxqNr,4
AMsySZY-Vo5ynRUrDA7R8Blzgtve,6
AMsySZY-__m0_BcCgibOS2rhDuSX,5
AMsySZY-aDtM57SCwdUgkehclgNg,9
AMsySZY-aGsHPQseR-f3o4WvhFjF,6
AMsySZY-b4Ua02XeVBQCY6cdtRZp,5
AMsySZY-bqYBGWfLQ-9QCxsccDVV,5
AMsySZY-cE6_gLLxaFgkTPKkIrqy,2
AMsySZY-cpUcF40ktRqqkAxgVi-i,1
AMsySZY-dKODCoOCIN7FDGf38VKU,7
AMsySZY-dnoyuem3UoHE0IQQWDwO,9
AMsySZY-e5sipLOTfhWTWldYcfqo,4
AMsySZY-epFlwDN2HLud-tLjbZUG,2
AMsySZY-hKQwbwhmwvsPBWsPjhLJ,3
AMsySZY-iWeOQmbKJ8KXRjOmQVfC,2
AMsySZY-j0Z11v5QyUD9CvMm5h_Z,4
AMsySZY-jBx7x3VJ1o7TNZmwYl9v,2
AMsySZY-k9h2NZEZtwU6j-5HQL41,1
AMsySZY-kDBl3-nHtMck70iISslt,1
AMsySZY-loUcgVBOX2X4R7Z3qcAO,2
AMsySZY-uRgOdn0oj1bpQM7EPxqW,4
AMsySZY-vmaOTATrwMmaSIftcUHJ,5
AMsySZY-vstKKY1l4X5-6HKHSu3u,6
AMsySZY-wsRaN4kZLJEKjwcsxRou,16
AMsySZY-z2mhtLdpPkCFG2xWzJ-n,2
AMsySZY-zA2yNzdtaJ87S-DREiqC,2
AMsySZY-zSa08nYfSNwTk0ACMNJQ,3
AMsySZY-zWcLslo-DJauIBFIx9d0,9
AMsySZY01VAtJUf4rkdG-Muap339,4
AMsySZY01eOgsTtq6EgVPPX_9o6I,2
AMsySZY03RJg_r-P98e70hNtttCG,4
AMsySZY04fy58xh3KrX_qXytS5pg,9
AMsySZY05cL1tAoH7WzytSr9WHfm,2
AMsySZY05iqy00ajAAxxg8JksFLO,10
AMsySZY06L2tLYyt_py8N8_cpfoC,4
AMsySZY06yyM0V7JwxE74Rcipct7,3
AMsySZY0Bu_Q6u_bsyeyqle6o4jw,4
AMsySZY0C6jsIyTvvW4PlbLEUWou,6
AMsySZY0DuSE2Ou5zWT6npc86Nvd,4
AMsySZY0EjAE1Ew1avuTROk60Iec,2
AMsySZY0FjVVbbdJe434Or3TtL-_,4
AMsySZY0I_hD2bT_Lxx1j_eXoygc,8
AMsySZY0JarZWfLthP5kZw5kBr7m,15
AMsySZY0LIYHjCWfLQlDbH7RfyXa,5
AMsySZY0Lg9eVa9IZmLA1b-nZILA,3
AMsySZY0N2n8coCgRd_2IscZzQOL,2
AMsySZY0QGw_gtT7e4LWXePFOAvu,12
AMsySZY0RyxcY02S6AHIteEZkYzc,5
AMsySZY0YQzZXfZE4b2gXtnHQRS9,13
AMsySZY0ZElvyf-qWo17xmOswmF1,6
AMsySZY0ZydJWHkkuSpw9QpbSLpn,9
AMsySZY0_1La5Vo4iHpTnGVYdcxL,16
AMsySZY0bwZppOxAGW-XQaIlMgDR,4
AMsySZY0bxSbf1zH5oS20a0f0km6,8
AMsySZY0d_G12yMlzwTkJWiB1dkJ,7
