UserID,AgrImpressions
0,4990
AMsySZY-0IMLov1RLyKImmr38Wtb,7
AMsySZY-1PW7dceZnHNkUYG8QC2u,1
AMsySZY-1nEu1lX-twfTUb-PxS9y,2
AMsySZY-2hbn0wt7Mo-sdN2hoMWa,2
AMsySZY-3L-y0mYSKyUg1iZevQCj,6
AMsySZY-6FOG_smBSBpDY7t1Acze,4
AMsySZY-7dGEpKHHobMq2W4KBiM4,4
AMsySZY-8__E5tBL0x9AecHWw2g8,4
AMsySZY-9TuTt2fxkAS74W7KmVY3,7
AMsySZY-9g6ziN2NEL08PMaevgBK,5
AMsySZY-A4FoIOVDOVcmlbN0xSZO,5
AMsySZY-AKHG77ZUg99lLDThl47s,8
AMsySZY-Aa1BA2NXub-jal3_NZKG,4
AMsySZY-B2bm9U-wRtT_6ZhVCAWF,14
AMsySZY-B4HXsel-1bqzq76bUUum,6
AMsySZY-BCDLjb9MBbdyDxpR0v2h,1
AMsySZY-CaYJm7pp6v3UREq7THuB,9
AMsySZY-D6KI0ziYh6rnVglGtQiQ,2
AMsySZY-DeLAJIkvIwd2UhSdT_ho,2
AMsySZY-E5V28VUCXt9-DwhwY03r,4
AMsySZY-ERiUsKvplzWjzkz-eZEf,2
AMsySZY-Gjuf2p5cA5lkdpdCsH0v,2
AMsySZY-HW8KUHIDoZnz20I8H59z,5
AMsySZY-Hc3c32WgZI65TYwFCZjp,3
AMsySZY-Hg9AXTu4hn2KnwEpjvzI,2
AMsySZY-I4z5qXtbWn5yftdK3Dod,2
AMsySZY-IlR8zv8qSp5clfLm2T0k,6
AMsySZY-JNKjqRejpUeq8P2CfndB,3
AMsySZY-K4Uri_Or4TMP3ux53pMZ,4
AMsySZY-LEDD_4SKMEw7oR_MrbuX,4
AMsySZY-LUB_MpTTVkpChTvuny7Y,4
AMsySZY-M1tS5Ll9SuE4tZ2CcAuY,5
AMsySZY-NI2GTkKNVXqDGn7vrB-t,6
AMsySZY-Ngqd5-wftUrShUCDoN1a,7
AMsySZY-OXcbrNk6NC1jxhbb7vzY,2
AMsySZY-PubSwaLnQgJsEXq277Gy,3
AMsySZY-SsWO1B45ZTbl6oSZLJoe,7
AMsySZY-TS1S_deiP0cxOdHRTd8i,1
AMsySZY-TaQk9abX0CGzqMHJG0MZ,7
AMsySZY-Tc4naub9PmPPm4kog_Bd,7
AMsySZY-Tp7QJNMhB6NJpBra5UFD,10
AMsySZY-UAOpa2zDIMbPMR9HwkpT,3
AMsySZY-UZf6Tp3tyLNTvoy0hgxP,2
AMsySZY-VEYd-0vWZlGpXLwwI8Dx,5
AMsySZY-VGlxJcBXaz6DgYYXK5-I,4
AMsySZY-VgUC_0oYds8NY1mHqUVc,2
AMsySZY-ViGSic0c-B-ZddJGqPCO,2
AMsySZY-Vo5ynRUrDA7R8Blzgtve,6
AMsySZY-XWPazeTExPMR9SykcCAk,1
AMsySZY-XxawGUeJD8CvohH5_FPe,7
AMsySZY-Y33pKYairtZ4qGbUBQFk,8
AMsySZY-YImBBEpbzcp5RWGnRQCZ,32
AMsySZY-Z1qnekI0sYIhKeyw_1jJ,1
AMsySZY-ZN-yBpggZ6aaIKaWNuiJ,4
AMsySZY-ZaI0_hyY3KfpFnYSjoiL,3
AMsySZY-_LGx89Hf__C_e6-YFPJS,2
AMsySZY-__m0_BcCgibOS2rhDuSX,5
AMsySZY-aDtM57SCwdUgkehclgNg,9
AMsySZY-aGsHPQseR-f3o4WvhFjF,6
AMsySZY-bqYBGWfLQ-9QCxsccDVV,5
AMsySZY-c-uraMqirqyXAbwJV3cu,8
AMsySZY-c4jz2MFCo-kAGNsgaJR2,6
AMsySZY-d9HbRbSJHSNfb7nhf4RR,1
AMsySZY-dDapTMAtWxIcIkC03cGQ,9
AMsySZY-dQZmR3Zv_cMvlAOEyfqB,2
AMsySZY-dnoyuem3UoHE0IQQWDwO,9
AMsySZY-dwVhh52EVX3zOO4BawOC,6
AMsySZY-eI20rOmCrIXNz5TOCQge,2
AMsySZY-eso3zL4Lgj5kwbTO3oF2,2
AMsySZY-fX4fWHVLS-SY5W1NyyUM,2
AMsySZY-g9xvN9ILblLjzBT12l4x,4
AMsySZY-hh3zWAcpYhCXoo0y42h9,4
AMsySZY-iNrMXO9vAMzHUQGPxqHv,4
AMsySZY-iRG5bsSI88JdWZpxlQsW,6
AMsySZY-jW_HFsfwPsyW_4YOBcCb,1
AMsySZY-kFoE29MCJuNv32cX-tm9,3
