"Advertiser","Placement ID","Placement Name","Date","Impressions","Spend","Clicks"
"","","","Totals","25,760,581","665,383.32","193,630"
"","","","Average","105,576","2,726.98","794"
"Costa Coffee","4146","VMX UK - Africam","April 2017","124","1.74","3"
"Aviva","4146","VMX UK - Africam","April 2017","166","2.49","4"
"Omega Pharma","4146","VMX UK - Africam","April 2017","633","9.49","13"
"SCA","4146","VMX UK - Africam","April 2017","638","14.46","2"
"Birds Eye","4146","VMX UK - Africam","April 2017","1,373","24.71","6"
"Mercedes UK","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","April 2017","14,048","302.29","127"
"Aviva","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","April 2017","52,746","791.19","1,354"
"Omega Pharma","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","April 2017","62,466","936.99","1,940"
"Costa Coffee","4461","VMX UK - Digiteka","April 2017","10,506","147.03","40"
"Aviva","4461","VMX UK - Digiteka","April 2017","12,666","189.99","71"
"Omega Pharma","4461","VMX UK - Digiteka","April 2017","26,314","394.71","162"
"Birds Eye","4461","VMX UK - Digiteka","April 2017","100,002","1,800.04","225"
"Costa Coffee","4822","AOD UK - Adx Non YT","April 2017","4,669","65.34","10"
"Mercedes UK","4822","AOD UK - Adx Non YT","April 2017","27,335","591.97","100"
"Aviva","4822","AOD UK - Adx Non YT","April 2017","4,495","67.42","16"
"Omega Pharma","4822","AOD UK - Adx Non YT","April 2017","6,137","92.05","8"
"SCA","4822","AOD UK - Adx Non YT","April 2017","14,925","358.20","99"
"Birds Eye","4822","AOD UK - Adx Non YT","April 2017","40,409","727.36","279"
"Costa Coffee","5169","AOD UK - Adx BT Preferred Deal","April 2017","22","0.31","0"
"Aviva","5169","AOD UK - Adx BT Preferred Deal","April 2017","14","0.21","0"
"Omega Pharma","5169","AOD UK - Adx BT Preferred Deal","April 2017","5","0.07","0"
"SCA","5169","AOD UK - Adx BT Preferred Deal","April 2017","7","0.17","0"
"Birds Eye","5169","AOD UK - Adx BT Preferred Deal","April 2017","48","0.86","0"
"Birds Eye","6636","VMM UK - Vintage TV","April 2017","8","0.14","0"
"Mercedes UK","6644","VMX UK - Viewster ROS Mobile Web","April 2017","286,186","6,112.02","1,358"
"Aviva","6644","VMX UK - Viewster ROS Mobile Web","April 2017","808","12.12","4"
"Omega Pharma","6644","VMX UK - Viewster ROS Mobile Web","April 2017","23,988","359.97","145"
"Birds Eye","6644","VMX UK - Viewster ROS Mobile Web","April 2017","65,425","1,177.65","162"
"Aviva","7606","VMX UK - Vungle Mobile App","April 2017","25","0.37","1"
"Omega Pharma","7606","VMX UK - Vungle Mobile App","April 2017","2,538","38.07","43"
"Birds Eye","7606","VMX UK - Vungle Mobile App","April 2017","1,020,940","18,376.91","8,376"
"Omega Pharma","8083","VMX UK - Viewster ROS Mobile App","April 2017","470","8.34","0"
"Birds Eye","8083","VMX UK - Viewster ROS Mobile App","April 2017","14,644","263.59","19"
"Mercedes UK","8446","VMX UK - IBTimes 60s","April 2017","17,192","357.27","123"
"Aviva","8446","VMX UK - IBTimes 60s","April 2017","1,297","19.45","14"
"Omega Pharma","8446","VMX UK - IBTimes 60s","April 2017","848","12.72","14"
"SCA","8446","VMX UK - IBTimes 60s","April 2017","33,421","797.44","231"
"Birds Eye","8446","VMX UK - IBTimes 60s","April 2017","45,809","824.56","347"
"Omega Pharma","9008","VMM UK - Hoopla Mobile Web","April 2017","1","0.01","0"
"Birds Eye","9008","VMM UK - Hoopla Mobile Web","April 2017","11","0.20","0"
"Costa Coffee","9141","VMM UK - Hoopla RON","April 2017","2,924","40.92","96"
"Aviva","9141","VMM UK - Hoopla RON","April 2017","12,013","180.19","597"
"Omega Pharma","9141","VMM UK - Hoopla RON","April 2017","1,151","17.40","60"
"Birds Eye","9141","VMM UK - Hoopla RON","April 2017","2,211","39.80","9"
"Mercedes UK","9271","VMM UK - Discovery Channel QuestTV PC Tag 1","April 2017","197","3.57","1"
"Mercedes UK","9274","VMM UK - Discovery Channel - Quest TV Mobile - Tag 1","April 2017","511","11.24","35"
"Costa Coffee","9275","AOD UK - Adx ESPN PMP","April 2017","22","0.31","8"
"Aviva","9275","AOD UK - Adx ESPN PMP","April 2017","194","2.91","20"
"Omega Pharma","9275","AOD UK - Adx ESPN PMP","April 2017","493","7.39","5"
"SCA","9275","AOD UK - Adx ESPN PMP","April 2017","849","20.38","34"
"Birds Eye","9275","AOD UK - Adx ESPN PMP","April 2017","4,273","76.91","173"
"Costa Coffee","9791","VMM UK - Communicorp","April 2017","7","0.10","0"
"Omega Pharma","9791","VMM UK - Communicorp","April 2017","77","1.15","0"
"SCA","9791","VMM UK - Communicorp","April 2017","6","0.11","0"
"Birds Eye","9791","VMM UK - Communicorp","April 2017","7","0.13","0"
"Costa Coffee","10109","VMM UK - The Telegraph PC - VPAID","April 2017","8","0.11","0"
"Mercedes UK","10109","VMM UK - The Telegraph PC - VPAID","April 2017","124","2.70","3"
"Aviva","10109","VMM UK - The Telegraph PC - VPAID","April 2017","72","1.08","6"
"Omega Pharma","10109","VMM UK - The Telegraph PC - VPAID","April 2017","32","0.48","4"
"SCA","10109","VMM UK - The Telegraph PC - VPAID","April 2017","83","1.99","2"
