Month,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),Media Cost (Advertiser Currency)
2016/01,DSG_UK_Blue449,341246,Active,,GBP,2903660,1707,9449.798936,6614.986263
2016/01,Aviva_UK_Zenith,3601,Active,,GBP,1531249,893,28904.903494,21206.452340
2016/01,Ekabe_UK_Zenith,7891,Active,,GBP,0,5,0.000000,0.000000
2016/01,Omega_UK_Zenith,201041,Active,,GBP,818925,619,13908.671760,10204.275024
2016/01,Boots_UK_Blue449,402838,Active,,GBP,2398362,3102,16354.018033,11448.032425
2016/01,Dunhill_UK_Zenith,913431,Active,,GBP,17787,21,272.383832,199.837884
2016/01,Haribo_UK_Blue449,398744,Active,,GBP,0,2,0.000000,0.000000
2016/01,Unipart_UK_Blue449,388341,Active,,GBP,90944,377,907.382192,635.179730
2016/01,Vision Express_UK_Blue449,459281,Active,,GBP,520395,2355,2983.167151,2088.257100
2016/01,FoxInternational_UK_Blue449,396937,Active,,GBP,7968442,851,10131.722361,7092.341826
2016/01,Calor Gas-NON DFA_UK_Blue449,354835,Active,,GBP,41601,128,599.694734,419.794374
2016/01,CarphoneWarehouse2_UK_Blue449,573839,Active,,GBP,1096379,3336,14945.243797,10461.871526
2016/01,Ladbrokes_UK_Blue449_ DCM LINKED,745235,Active,,GBP,1507745,627,27782.852325,19448.370036
2016/02,Aviva_UK_Zenith,3601,Active,,GBP,965935,569,17621.666539,12928.361158
2016/02,Omega_UK_Zenith,201041,Active,,GBP,403367,582,6632.053833,4865.691164
2016/02,Boots_UK_Blue449,402838,Active,,GBP,3135860,3799,14360.027861,10052.212505
2016/02,Dunhill_UK_Zenith,913431,Active,,GBP,48668,40,1017.957030,746.837202
2016/02,Unipart_UK_Blue449,388341,Active,,GBP,172131,673,2013.942992,1409.787162
2016/02,Swarovski_UK_Zenith,144532,Active,,GBP,1318092,951,24218.066846,17767.894656
2016/02,Calor Gas_UK_Blue449,355235,Active,,GBP,99922,246,897.001658,862.501594
2016/02,Vision Express_UK_Blue449,459281,Active,,GBP,1801437,8499,10797.963531,7558.719599
2016/02,Entertainment One_UK_Zenith,8451,Active,,GBP,5077544,409,12879.482746,9449.197333
2016/02,FoxInternational_UK_Blue449,396937,Active,,GBP,11611399,1120,14405.441355,10084.002561
2016/02,Calor Gas-NON DFA_UK_Blue449,354835,Active,,GBP,43414,100,583.115543,408.188717
2016/02,EastMidlandsTrains_UK_Blue449,717237,Active,,GBP,2142228,2824,24022.220292,16815.877069
2016/02,National Geographic_UK_Blue449,420233,Active,,GBP,8762217,2541,20084.655453,14059.528760
2016/02,Ladbrokes_UK_Blue449_ DCM LINKED,745235,Active,,GBP,0,3,0.000000,0.000000
2016/02,Lexus Pan Euro_UK_Zenith International DCM Parent,812132,Active,,EUR,2697317,1962,37121.909243,27234.963759
2016/03,DSG_UK_Blue449,341246,Active,,GBP,1447619,4417,16607.513515,11625.482670
2016/03,KFC_UK_Blue449,595178,Active,,GBP,726998,1266,8096.069327,5667.357342
2016/03,Unum_UK_Zenith,188049,Active,,GBP,4114508,7645,24621.818076,17235.603577
2016/03,Aviva_UK_Zenith,3601,Active,,GBP,2015495,1102,27165.662200,19038.797446
2016/03,Omega_UK_Zenith,201041,Active,,GBP,222476,132,4064.604255,2845.277608
2016/03,Boots_UK_Blue449,402838,Active,,GBP,7113267,1316,12517.353022,8762.315352
2016/03,Dunhill_UK_Zenith,913431,Active,,GBP,0,1,0.000000,0.000000
2016/03,Unipart_UK_Blue449,388341,Active,,GBP,391609,1766,3770.917168,2639.692700
2016/03,Swarovski_UK_Zenith,144532,Active,,GBP,1806097,1623,16265.994936,10992.086114
2016/03,Calor Gas_UK_Blue449,355235,Active,,GBP,97760,123,1422.174750,1250.670262
2016/03,Vision Express_UK_Blue449,459281,Active,,GBP,1384340,7633,11615.974698,8131.338410
2016/03,Entertainment One_UK_Zenith,8451,Active,,GBP,11261814,895,27910.755312,20477.082804
2016/03,Molson Coors_UK_Zenith (DCM),676041,Active,,GBP,1521731,654,24999.229636,17507.686267
2016/03,CarphoneWarehouse2_UK_Blue449,573839,Active,,GBP,1846544,3284,19990.103574,13993.341174
2016/03,EastMidlandsTrains_UK_Blue449,717237,Active,,GBP,796199,1857,8760.678956,6132.593015
2016/03,National Geographic_UK_Blue449,420233,Active,,GBP,485893,1082,5621.038200,3934.802288
2016/03,Christies_UK_Zenith International,914143,Active,,GBP,654475,826,9051.893714,6641.037659
2016/03,Lexus Pan Euro_UK_Zenith International DCM Parent,812132,Active,,EUR,4576448,3201,67439.478723,49477.836577
2016/04,DSG_UK_Blue449,341246,Active,,GBP,10276067,1054,13733.919665,9613.928353
2016/04,KFC_UK_Blue449,595178,Active,,GBP,25345294,40388,217962.475917,152137.227389
2016/04,Unum_UK_Zenith,188049,Active,,GBP,0,1,0.000000,0.000000
2016/04,Aviva_UK_Zenith,3601,Active,,GBP,471030,289,11744.245940,8221.130004
2016/04,Omega_UK_Zenith,201041,Active,,GBP,279989,223,4639.535146,3247.736959
2016/04,Qantas_UK_Zenith,213534,Active,,GBP,546724,512,8654.505927,6349.489024
2016/04,Unipart_UK_Blue449,388341,Active,,GBP,504813,2297,5478.369390,3834.932204
2016/04,Swarovski_UK_Zenith,144532,Active,,GBP,822904,704,6626.611424,4360.167042
2016/04,Calor Gas_UK_Blue449,355235,Active,,GBP,29055,38,301.466572,275.049564
2016/04,Vision Express_UK_Blue449,459281,Active,,GBP,383692,1481,4552.243385,3186.631553
2016/04,Molson Coors_UK_Zenith (DCM),676041,Active,,GBP,2385322,1020,32838.725094,22987.548927
