impression_date,advertiser_name,deal_id,deal_name,Impressions,Clicks,Currency, Cost 
2017_07_02,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_IAB,53405,21,GBP,£211.91
2017_07_03,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_970x250,400,1,GBP,£2.79
2017_07_03,Merial_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,1,0,GBP,£0.00
2017_07_03,SCA_UK_Zenith,svn_NEWS,Newshounds,1,0,GBP,£0.00
2017_07_04,SCA_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,3,0,GBP,£0.01
2017_07_05,Merial_UK_Zenith,Unknown,Unknown,192305,254,GBP,£331.55
2017_07_13,SCA_UK_Zenith,Unknown,Unknown,46206,58,GBP,£125.74
2017_07_13,SCA_UK_Zenith,svn_BUSINESS,Business Buffs,4,0,GBP,£0.01
2017_07_14,SCA_UK_Zenith,svn_NEWS,Newshounds,1,0,GBP,£0.00
2017_07_15,SCA_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,3,0,GBP,£0.01
2017_07_19,SCA_UK_Zenith,TRN-13132-00b3d,GroundTruth_SCA_Bodyform Blackliner_320x50,5311,12,GBP,£28.76
2017_07_19,SCA_UK_Zenith,svn_FAMILY,Family Matters,1,0,GBP,£0.00
2017_07_19,SCA_UK_Zenith,svn_HEALTH,Health Gurus,1,0,GBP,£0.00
2017_07_21,SCA_UK_Zenith,svn_ARTS,Arts & Popular Media,1,0,GBP,£0.00
2017_07_22,SCA_UK_Zenith,TRN-13132-00b3d,GroundTruth_SCA_Bodyform Blackliner_320x50,4821,18,GBP,£26.21
2017_07_22,SCA_UK_Zenith,svn_HEALTH,Health Gurus,1,0,GBP,£0.00
2017_07_24,SCA_UK_Zenith,Unknown,Unknown,98541,141,GBP,£293.86
2017_07_24,SCA_UK_Zenith,svn_BUSINESS,Business Buffs,2,0,GBP,£0.01
2017_07_24,SCA_UK_Zenith,svn_PETS,Pet Lovers,1,0,GBP,£0.00
2017_07_26,SCA_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,20,0,GBP,£0.06
2017_07_27,SCA_UK_Zenith,357293,Playground XYZ_SCA_Bodyform Blackliner,460,6,GBP,£10.98
2017_07_27,SCA_UK_Zenith,TRN-13132-00b3e,GroundTruth_SCA_Bodyform Blackliner_300x250,1945,2,GBP,£10.55
2017_07_29,SCA_UK_Zenith,svn_ARTS,Arts & Popular Media,15,0,GBP,£0.07
2017_07_29,SCA_UK_Zenith,svn_EDU,Secondary & Adult Ed,3,0,GBP,£0.02
2017_07_29,SCA_UK_Zenith,svn_HOBBIES,Hobbyists,6,0,GBP,£0.02
2017_07_30,SCA_UK_Zenith,357293,Playground XYZ_SCA_Bodyform Blackliner,4064,148,GBP,£94.74
2017_07_30,SCA_UK_Zenith,TRN-13132-0079a,AO - Rubicon - xAd - CPG,1,0,GBP,£0.00
2017_07_30,SCA_UK_Zenith,TRN-13132-00b3e,GroundTruth_SCA_Bodyform Blackliner_300x250,1053,0,GBP,£5.69
2017_07_30,SCA_UK_Zenith,svn_STYLE,Fashionistas,5,0,GBP,£0.03
2017_07_01,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_IAB,46627,27,GBP,£185.53
2017_07_02,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_970x250,539,0,GBP,£3.78
2017_07_03,SCA_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,1,0,GBP,£0.00
2017_07_03,SCA_UK_Zenith,Unknown,Unknown,41530,63,GBP,£102.96
2017_07_04,Merial_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,1,0,GBP,£0.00
2017_07_04,Merial_UK_Zenith,Unknown,Unknown,213934,276,GBP,£340.50
2017_07_04,SCA_UK_Zenith,svn_NEWS,Newshounds,2,0,GBP,£0.01
2017_07_08,SCA_UK_Zenith,svn_FOOD,Foodies,1,0,GBP,£0.00
2017_07_09,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_IAB,28067,16,GBP,£111.12
2017_07_12,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_IAB,28085,22,GBP,£110.81
2017_07_14,SCA_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,8,0,GBP,£0.02
2017_07_14,SCA_UK_Zenith,Unknown,Unknown,62469,48,GBP,£154.20
2017_07_17,SCA_UK_Zenith,TRN-13132-00b3e,GroundTruth_SCA_Bodyform Blackliner_300x250,26,0,GBP,£0.16
2017_07_18,SCA_UK_Zenith,TRN-13132-00b3d,GroundTruth_SCA_Bodyform Blackliner_320x50,1310,5,GBP,£8.10
2017_07_19,SCA_UK_Zenith,svn_ARTS,Arts & Popular Media,1,0,GBP,£0.01
2017_07_20,SCA_UK_Zenith,TRN-13132-00b3e,GroundTruth_SCA_Bodyform Blackliner_300x250,1670,0,GBP,£9.04
2017_07_21,SCA_UK_Zenith,TRN-13132-00b3d,GroundTruth_SCA_Bodyform Blackliner_320x50,4735,8,GBP,£25.62
2017_07_25,SCA_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,11,0,GBP,£0.03
2017_07_25,SCA_UK_Zenith,Unknown,Unknown,80518,135,GBP,£245.59
2017_07_25,SCA_UK_Zenith,svn_PETS,Pet Lovers,1,0,GBP,£0.01
2017_07_25,SCA_UK_Zenith,svn_SPORTS,Sports Enthusiats,1,0,GBP,£0.00
2017_07_28,SCA_UK_Zenith,357293,Playground XYZ_SCA_Bodyform Blackliner,2446,59,GBP,£56.81
2017_07_28,SCA_UK_Zenith,TRN-13132-00b3e,GroundTruth_SCA_Bodyform Blackliner_300x250,1899,2,GBP,£10.23
2017_07_29,SCA_UK_Zenith,TRN-13132-00b3d,GroundTruth_SCA_Bodyform Blackliner_320x50,7062,27,GBP,£38.33
2017_07_30,SCA_UK_Zenith,svn_LAWGOVT,Politicos,1,0,GBP,£0.00
2017_07_31,SCA_UK_Zenith,357293,Playground XYZ_SCA_Bodyform Blackliner,1408,15,GBP,£32.90
2017_07_31,SCA_UK_Zenith,TRN-13132-00b3e,GroundTruth_SCA_Bodyform Blackliner_300x250,2176,2,GBP,£11.78
2017_07_31,SCA_UK_Zenith,svn_EDU,Secondary & Adult Ed,2,0,GBP,£0.01
2017_07_01,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_970x250,3273,5,GBP,£22.95
2017_07_03,Merial_UK_Zenith,Unknown,Unknown,217544,242,GBP,£345.53
2017_07_03,SCA_UK_Zenith,TRN-13132-0079a,AO - Rubicon - xAd - CPG,1,0,GBP,£0.00
2017_07_04,SCA_UK_Zenith,Unknown,Unknown,64668,31,GBP,£111.64
2017_07_05,Merial_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,2,0,GBP,£0.00
2017_07_05,SCA_UK_Zenith,svn_NEWS,Newshounds,5,0,GBP,£0.02
2017_07_07,SCA_UK_Zenith,svn_FOOD,Foodies,1,0,GBP,£0.00
2017_07_08,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_IAB,28344,12,GBP,£111.22
2017_07_09,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_970x250,322,1,GBP,£2.26
2017_07_11,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_IAB,28224,7,GBP,£111.16
2017_07_12,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_970x250,324,0,GBP,£2.26
2017_07_13,SCA_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,16,0,GBP,£0.05
2017_07_15,SCA_UK_Zenith,Unknown,Unknown,84367,63,GBP,£163.89
2017_07_15,SCA_UK_Zenith,svn_BUSINESS,Business Buffs,0,1,GBP,
2017_07_17,SCA_UK_Zenith,TRN-13132-00b3d,GroundTruth_SCA_Bodyform Blackliner_320x50,297,1,GBP,£1.84
2017_07_18,SCA_UK_Zenith,TRN-13132-00b3e,GroundTruth_SCA_Bodyform Blackliner_300x250,87,0,GBP,£0.54
2017_07_18,SCA_UK_Zenith,svn_FOOD,Foodies,2,0,GBP,£0.01
2017_07_20,SCA_UK_Zenith,TRN-13132-00b3d,GroundTruth_SCA_Bodyform Blackliner_320x50,4344,12,GBP,£23.56
2017_07_21,SCA_UK_Zenith,TRN-13132-00b3e,GroundTruth_SCA_Bodyform Blackliner_300x250,1284,0,GBP,£6.94
2017_07_23,SCA_UK_Zenith,svn_ARTS,Arts & Popular Media,3,0,GBP,£0.01
2017_07_24,SCA_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,26,0,GBP,£0.07
2017_07_24,SCA_UK_Zenith,svn_SPORTS,Sports Enthusiats,1,0,GBP,£0.01
2017_07_24,SCA_UK_Zenith,svn_TECH,Gadget Fans,1,0,GBP,£0.00
2017_07_26,SCA_UK_Zenith,Unknown,Unknown,76738,136,GBP,£224.98
2017_07_26,SCA_UK_Zenith,svn_BUSINESS,Business Buffs,2,0,GBP,£0.01
2017_07_27,SCA_UK_Zenith,svn_EDU,Secondary & Adult Ed,1,0,GBP,£0.01
2017_07_27,SCA_UK_Zenith,svn_NEWS,Newshounds,1,0,GBP,£0.01
2017_07_28,SCA_UK_Zenith,TRN-13132-00b3d,GroundTruth_SCA_Bodyform Blackliner_320x50,9109,32,GBP,£49.17
2017_07_29,SCA_UK_Zenith,357293,Playground XYZ_SCA_Bodyform Blackliner,4036,130,GBP,£94.44
2017_07_29,SCA_UK_Zenith,TRN-13132-00b3e,GroundTruth_SCA_Bodyform Blackliner_300x250,1439,2,GBP,£7.80
2017_07_29,SCA_UK_Zenith,svn_FOOD,Foodies,8,0,GBP,£0.04
2017_07_29,SCA_UK_Zenith,svn_TRAVEL,Jet Setters,2,0,GBP,£0.01
2017_07_30,SCA_UK_Zenith,svn_EDU,Secondary & Adult Ed,3,0,GBP,£0.01
2017_07_31,SCA_UK_Zenith,TRN-13132-00b3d,GroundTruth_SCA_Bodyform Blackliner_320x50,8271,25,GBP,£44.82
2017_07_31,SCA_UK_Zenith,svn_FINANCE,Financial Investors,2,0,GBP,£0.01
2017_07_31,SCA_UK_Zenith,svn_LAWGOVT,Politicos,1,0,GBP,£0.01
2017_07_02,Merial_UK_Zenith,Unknown,Unknown,157723,189,GBP,£245.75
2017_07_03,SCA_UK_Zenith,svn_HEALTH,Health Gurus,1,0,GBP,£0.00
2017_07_05,SCA_UK_Zenith,Unknown,Unknown,62573,29,GBP,£126.75
2017_07_06,SCA_UK_Zenith,svn_NEWS,Newshounds,2,0,GBP,£0.01
2017_07_07,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_IAB,28234,11,GBP,£111.24
2017_07_08,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_970x250,320,0,GBP,£2.23
2017_07_10,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_IAB,28158,10,GBP,£111.00
2017_07_11,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_970x250,327,0,GBP,£2.28
2017_07_12,SCA_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,2,0,GBP,£0.01
2017_07_13,SCA_UK_Zenith,svn_ARTS,Arts & Popular Media,3,0,GBP,£0.01
2017_07_14,SCA_UK_Zenith,svn_HEALTH,Health Gurus,1,0,GBP,£0.00
2017_07_16,SCA_UK_Zenith,Unknown,Unknown,89957,60,GBP,£164.42
2017_07_19,SCA_UK_Zenith,TRN-13132-00b3e,GroundTruth_SCA_Bodyform Blackliner_300x250,715,0,GBP,£3.86
2017_07_21,SCA_UK_Zenith,svn_FINANCE,Financial Investors,1,0,GBP,£0.00
2017_07_22,SCA_UK_Zenith,TRN-13132-00b3e,GroundTruth_SCA_Bodyform Blackliner_300x250,1182,2,GBP,£6.41
2017_07_23,SCA_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,20,0,GBP,£0.06
2017_07_24,SCA_UK_Zenith,svn_HOBBIES,Hobbyists,1,0,GBP,£0.00
2017_07_27,SCA_UK_Zenith,TRN-13132-00b3d,GroundTruth_SCA_Bodyform Blackliner_320x50,6213,15,GBP,£33.70
2017_07_27,SCA_UK_Zenith,Unknown,Unknown,210117,221,GBP,£711.93
2017_07_27,SCA_UK_Zenith,svn_SCIENCE,Science Buffs,1,0,GBP,£0.01
2017_07_28,SCA_UK_Zenith,svn_FOOD,Foodies,2,0,GBP,£0.01
2017_07_29,SCA_UK_Zenith,svn_FINANCE,Financial Investors,2,0,GBP,£0.01
2017_07_30,SCA_UK_Zenith,TRN-13132-00b3d,GroundTruth_SCA_Bodyform Blackliner_320x50,5746,22,GBP,£31.13
2017_07_30,SCA_UK_Zenith,Unknown,Unknown,315244,337,GBP,£957.34
2017_07_30,SCA_UK_Zenith,svn_BUSINESS,Business Buffs,13,0,GBP,£0.06
2017_07_30,SCA_UK_Zenith,svn_PETS,Pet Lovers,3,0,GBP,£0.01
2017_07_30,SCA_UK_Zenith,svn_SCIENCE,Science Buffs,4,0,GBP,£0.02
2017_07_31,SCA_UK_Zenith,svn_FOOD,Foodies,13,0,GBP,£0.08
2017_07_31,SCA_UK_Zenith,svn_NEWS,Newshounds,1,0,GBP,£0.01
2017_07_01,Merial_UK_Zenith,Unknown,Unknown,161479,169,GBP,£248.80
2017_07_03,SCA_UK_Zenith,svn_ARTS,Arts & Popular Media,2,0,GBP,£0.01
2017_07_03,SCA_UK_Zenith,svn_HOBBIES,Hobbyists,1,0,GBP,£0.00
2017_07_04,SCA_UK_Zenith,svn_HEALTH,Health Gurus,1,0,GBP,£0.00
2017_07_06,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_IAB,28123,12,GBP,£111.34
2017_07_06,SCA_UK_Zenith,Unknown,Unknown,64792,52,GBP,£135.32
2017_07_07,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_970x250,331,1,GBP,£2.31
2017_07_07,Merial_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,4,0,GBP,£0.01
2017_07_08,SCA_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,5,0,GBP,£0.02
2017_07_09,Merial_UK_Zenith,Unknown,Unknown,193462,261,GBP,£332.75
2017_07_10,Merial_UK_Zenith,2.30937E+17,Gumtree_UK_Audience_Pets_970x250,325,3,GBP,£2.27
2017_07_11,SCA_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,4,0,GBP,£0.02
2017_07_12,Merial_UK_Zenith,Unknown,Unknown,173238,250,GBP,£325.13
2017_07_14,SCA_UK_Zenith,svn_ARTS,Arts & Popular Media,2,0,GBP,£0.01
