"Advertiser","Placement ID","Placement Name","Date","Impressions","Spend","Clicks"
"","","","Totals","15,825,615","440,451.50","94,289"
"","","","Average","77,959","2,169.71","464"
"SCA","1658","AOD UK - Adx RTB","July 2017","4","0.07","1"
"Birds Eye","1658","AOD UK - Adx RTB","July 2017","5","0.09","2"
"Aviva","4401","VMX UK - Venatus Tier 1 [Kids Gaming] VPAID 2.0","July 2017","709","10.63","39"
"Omega Pharma","4401","VMX UK - Venatus Tier 1 [Kids Gaming] VPAID 2.0","July 2017","14,763","265.73","286"
"RBS","4461","VMX UK - Digiteka","July 2017","19,603","411.66","69"
"Merial","4461","VMX UK - Digiteka","July 2017","4,635","92.70","20"
"Aviva","4461","VMX UK - Digiteka","July 2017","388","5.82","1"
"Omega Pharma","4461","VMX UK - Digiteka","July 2017","19,307","347.53","239"
"Birds Eye","4461","VMX UK - Digiteka","July 2017","31,660","569.88","262"
"RBS","4822","AOD UK - Adx Non YT","July 2017","39,155","822.26","587"
"Merial","4822","AOD UK - Adx Non YT","July 2017","7,482","149.64","42"
"Aviva","4822","AOD UK - Adx Non YT","July 2017","10,683","160.24","84"
"SCA","4822","AOD UK - Adx Non YT","July 2017","81,909","1,474.36","645"
"Birds Eye","4822","AOD UK - Adx Non YT","July 2017","83,791","1,508.24","557"
"RBS","5169","AOD UK - Adx BT Preferred Deal","July 2017","19","0.40","2"
"Merial","5169","AOD UK - Adx BT Preferred Deal","July 2017","1","0.02","0"
"Aviva","5169","AOD UK - Adx BT Preferred Deal","July 2017","11","0.16","1"
"SCA","5169","AOD UK - Adx BT Preferred Deal","July 2017","31","0.56","2"
"Birds Eye","5169","AOD UK - Adx BT Preferred Deal","July 2017","63","1.13","2"
"SCA","6076","VMX UK - Spot Xchange Hearst PMP","July 2017","6","0.11","1"
"Birds Eye","6076","VMX UK - Spot Xchange Hearst PMP","July 2017","1","0.02","0"
"RBS","6162","VMX UK - Trinity Mirror mobile web","July 2017","28,205","575.93","32"
"Aviva","6162","VMX UK - Trinity Mirror mobile web","July 2017","78,808","1,182.12","52"
"Omega Pharma","6162","VMX UK - Trinity Mirror mobile web","July 2017","96,930","1,744.74","64"
"RBS","6469","VMX UK - Venatus Core Gaming VPAID 2.0","July 2017","3","0.06","0"
"Merial","6469","VMX UK - Venatus Core Gaming VPAID 2.0","July 2017","1","0.02","0"
"SCA","6469","VMX UK - Venatus Core Gaming VPAID 2.0","July 2017","2,182","55.64","10"
"RBS","6636","VMM UK - Vintage TV","July 2017","546","11.47","44"
"Omega Pharma","6636","VMM UK - Vintage TV","July 2017","480","8.64","19"
"Birds Eye","6636","VMM UK - Vintage TV","July 2017","372","6.70","13"
"RBS","6644","VMX UK - Viewster ROS Mobile Web","July 2017","131,151","2,832.60","611"
"Merial","6644","VMX UK - Viewster ROS Mobile Web","July 2017","36,972","739.44","157"
"Aviva","6644","VMX UK - Viewster ROS Mobile Web","July 2017","2,750","41.25","7"
"Omega Pharma","6644","VMX UK - Viewster ROS Mobile Web","July 2017","66,591","1,198.64","269"
"Birds Eye","6644","VMX UK - Viewster ROS Mobile Web","July 2017","223,170","4,017.06","774"
"RBS","7606","VMX UK - Vungle Mobile App","July 2017","162,612","3,414.52","1,688"
"Merial","7606","VMX UK - Vungle Mobile App","July 2017","86,696","1,733.92","804"
"Aviva","7606","VMX UK - Vungle Mobile App","July 2017","2","0.03","0"
"Omega Pharma","7606","VMX UK - Vungle Mobile App","July 2017","5,219","93.94","43"
"Birds Eye","7606","VMX UK - Vungle Mobile App","July 2017","496,070","8,929.26","4,430"
"RBS","8083","VMX UK - Viewster ROS Mobile App","July 2017","15,712","339.70","114"
"Merial","8083","VMX UK - Viewster ROS Mobile App","July 2017","2,535","50.70","24"
"Omega Pharma","8083","VMX UK - Viewster ROS Mobile App","July 2017","39","0.70","0"
"Birds Eye","8083","VMX UK - Viewster ROS Mobile App","July 2017","2,443","43.97","6"
"RBS","8446","VMX UK - IBTimes 60s","July 2017","32,154","725.01","12"
"Merial","8446","VMX UK - IBTimes 60s","July 2017","13,634","272.68","16"
"SCA","8446","VMX UK - IBTimes 60s","July 2017","26,963","519.62","37"
"Birds Eye","8446","VMX UK - IBTimes 60s","July 2017","64,486","1,160.75","273"
"RBS","8474","VMM UK - Hoopla - National Geographic","July 2017","1","0.02","1"
"SCA","8474","VMM UK - Hoopla - National Geographic","July 2017","37","0.67","2"
"RBS","8630","VMM UK - Vungle Premium Mobile App","July 2017","5","0.11","0"
"Merial","8630","VMM UK - Vungle Premium Mobile App","July 2017","6,870","137.40","37"
"Birds Eye","8630","VMM UK - Vungle Premium Mobile App","July 2017","123","2.21","1"
"RBS","9008","VMM UK - Hoopla Mobile Web","July 2017","1,653","37.81","112"
"RBS","9141","VMM UK - Hoopla RON","July 2017","38,224","809.48","834"
"Omega Pharma","9271","VMM UK - Discovery Channel QuestTV PC Tag 1","July 2017","1","0.02","0"
"Omega Pharma","9274","VMM UK - Discovery Channel - Quest TV Mobile - Tag 1","July 2017","1","0.02","0"
"RBS","9275","AOD UK - Adx ESPN PMP","July 2017","89","1.87","3"
"Merial","9275","AOD UK - Adx ESPN PMP","July 2017","1","0.02","0"
"Aviva","9275","AOD UK - Adx ESPN PMP","July 2017","64","0.96","5"
"Omega Pharma","9275","AOD UK - Adx ESPN PMP","July 2017","13","0.23","4"
"SCA","9275","AOD UK - Adx ESPN PMP","July 2017","1","0.02","1"
"Birds Eye","9275","AOD UK - Adx ESPN PMP","July 2017","143","2.57","29"
"SCA","9791","VMM UK - Communicorp","July 2017","7","0.13","0"
"RBS","10084","VMX UK - Vungle Kids Safe Only Mobile App","July 2017","7","0.13","0"
"Omega Pharma","10109","VMM UK - The Telegraph PC - VPAID","July 2017","9","0.16","0"
"SCA","10109","VMM UK - The Telegraph PC - VPAID","July 2017","1","0.02","0"
"RBS","10110","VMM UK - The Telegraph Mobile Web","July 2017","108","1.96","3"
"Merial","10110","VMM UK - The Telegraph Mobile Web","July 2017","39","0.78","0"
"Aviva","10110","VMM UK - The Telegraph Mobile Web","July 2017","45","0.67","0"
"Omega Pharma","10110","VMM UK - The Telegraph Mobile Web","July 2017","1,011","18.20","2"
"Birds Eye","10110","VMM UK - The Telegraph Mobile Web","July 2017","192","3.46","0"
"Birds Eye","10326","VMM UK - Rubicon RTB INS M/L Player","July 2017","18,449","332.08","155"
"Omega Pharma","11228","VMM UK - Planet Knowledge GTD - Tag 1","July 2017","15","0.27","0"
"RBS","11241","VMX UK - Venatus Mobile App EA Games","July 2017","97,316","1,751.69","416"
"Aviva","11241","VMX UK - Venatus Mobile App EA Games","July 2017","163,806","2,457.08","881"
"Omega Pharma","11241","VMX UK - Venatus Mobile App EA Games","July 2017","18,201","327.62","83"
"Omega Pharma","11255","VMM UK - Discoverychannel.com RON Mobile Web","July 2017","5","0.09","0"
"RBS","11363","AOD UK - Perform RON Eplayer VAST","July 2017","155,780","3,432.18","67"
"Merial","11363","AOD UK - Perform RON Eplayer VAST","July 2017","2,504","50.08","3"
"Molson Coors","11363","AOD UK - Perform RON Eplayer VAST","July 2017","49,838","996.76","7"
"Omega Pharma","11363","AOD UK - Perform RON Eplayer VAST","July 2017","15,217","273.91","3"
"Birds Eye","11363","AOD UK - Perform RON Eplayer VAST","July 2017","250,053","4,500.95","77"
"Omega Pharma","11687","VMM UK - Wishbone PMP","July 2017","106","1.91","5"
"Birds Eye","11687","VMM UK - Wishbone PMP","July 2017","135","2.43","4"
"RBS","11752","VMM UK - 90 Min Mobile","July 2017","45,309","945.56","552"
"Merial","11752","VMM UK - 90 Min Mobile","July 2017","8,655","173.10","18"
"Omega Pharma","11752","VMM UK - 90 Min Mobile","July 2017","7","0.13","0"
"Birds Eye","11752","VMM UK - 90 Min Mobile","July 2017","9","0.16","0"
"Aviva","11756","VMM UK - Snack Media NFL","July 2017","6","0.09","1"
