Month,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Public Inventory,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),Media Cost (Advertiser Currency)
2017/05,ACER USD_UK_Zenith International,290566,Active,,No,USD,4977564,4612,27196.140750,18790.929989
2017/05,Aviva_UK_Zenith,3601,Active,,No,GBP,1439054,645,5912.230669,4045.641318
2017/05,Aviva_UK_Zenith,3601,Active,,Yes,GBP,16103162,7809,48951.485547,32308.894953
2017/05,John Frieda_UK_Zenith,272335,Active,,Yes,GBP,769098,12834,16953.540822,11510.226254
2017/05,Mercedes-Benz_UK_Zenith/Ninah (non-DFA),365138,Active,,No,GBP,2107606,6638,41789.267807,29205.763813
2017/05,Net-a-Porter_UK_Zenith_2,1667333,Active,,No,GBP,138600,119,1032.427435,693.261958
2017/05,New Look (Non DCM)_UK_Zenith,8583,Active,,Yes,GBP,1471354,1730,17297.919219,12108.321629
2017/05,New Look_UK_Performics,1772231,Active,,No,GBP,30589,48,149.139205,88.943283
2017/05,Toyota (Non DFA)_UK_Zenith,361847,Active,,Yes,GBP,14,1,0.501767,0.351224
2017/05,Delta Airline_UK_Zenith International,117532,Active,,No,GBP,318978,182,1564.068209,995.561905
2017/05,Elemis_UK_Zenith,960943,Active,,Yes,GBP,614593,866,2639.444801,1826.914870
2017/05,Entertainment One_UK_Zenith,8451,Active,,No,GBP,1349567,15425,27635.287389,19330.157082
2017/05,Mercedes-Benz_UK_Zenith/Ninah (non-DFA),365138,Active,,Yes,GBP,2377346,2277,14802.492317,10343.580592
2017/05,Next_UK_Zenith,378754,Active,,No,GBP,5862695,9710,26526.479543,18447.809660
2017/05,Oracle (EUR)_UK_Zenith International,1627832,Active,,Yes,EUR,12738545,5621,33282.594804,7721.103944
2017/05,Oracle (GBP)_UK_Zenith International,1546239,Active,,No,GBP,1751,0,10.609527,5.444210
2017/05,Oracle (GBP)_UK_Zenith International,1546239,Active,,Yes,GBP,5883644,2066,12034.059776,2912.935240
2017/05,RBS (DFA)_UK_Zenith,333264,Active,,No,GBP,1276480,640,6616.889035,4545.502811
2017/05,Staples_UK_Zenith International_EUR,507840,Active,,Yes,EUR,2770702,2236,16670.630289,9725.751307
2017/05,Toyota_UK_Zenith,5071,Active,,Yes,GBP,920743,318,6123.473443,3978.841852
2017/05,Boucheron_UK_Zenith,1688033,Active,,No,GBP,196817,14,984.753369,689.301999
2017/05,Boucheron_UK_Zenith,1688033,Active,,Yes,GBP,2135997,1798,23279.845330,16295.485899
2017/05,Christies_UK_Zenith International,914143,Active,,Yes,GBP,32101588,19626,124625.741422,83213.525853
2017/05,Elemis_UK_Zenith,960943,Active,,No,GBP,46033,86,226.505670,156.927975
2017/05,Lexus_UK_Zenith,5072,Active,,Yes,GBP,130807,156,835.756615,540.053272
2017/05,Net-a-Porter_UK_Zenith_2,1667333,Active,,Yes,GBP,1173232,833,9428.197371,6357.550255
2017/05,Omega_UK_Zenith,201041,Active,,Yes,GBP,4111989,3696,14413.834011,8995.581618
2017/05,Staples_UK_Zenith International_EUR,507840,Active,,No,EUR,300952,289,2032.296516,1394.196023
2017/05,Stella McCartney_UK_Zenith,1645637,Active,,No,GBP,2,0,0.026251,0.018375
2017/05,Toyota (Non DFA)_UK_Zenith,361847,Active,,No,GBP,5,0,0.072174,0.050520
2017/05,Toyota_UK_Zenith,5071,Active,,No,GBP,237622,111,1094.070142,708.479803
2017/05,ACER USD_UK_Zenith International,290566,Active,,Yes,USD,59084015,41997,195434.238470,129106.649817
2017/05,Entertainment One_UK_Zenith,8451,Active,,Yes,GBP,2098377,19498,36704.555944,25557.919664
2017/05,Lexus_UK_Zenith,5072,Active,,No,GBP,60632,66,614.155457,424.188052
2017/05,Natwest (DFA)_UK_Zenith,333265,Active,,No,GBP,7608609,2579,40199.467684,27983.874394
2017/05,Natwest (DFA)_UK_Zenith,333265,Active,,Yes,GBP,58406161,17381,128095.126808,85969.514273
2017/05,New Look_UK_Performics,1772231,Active,,Yes,GBP,125824,185,821.818019,509.388556
2017/05,Next_UK_Zenith,378754,Active,,Yes,GBP,104062361,117973,196303.782703,131225.226411
2017/05,Omega_UK_Zenith,201041,Active,,No,GBP,1428716,5138,9101.935859,5650.656929
2017/05,Oracle (EUR)_UK_Zenith International,1627832,Active,,No,EUR,16070,6,118.904459,62.030419
2017/05,RBS (DFA)_UK_Zenith,333264,Active,,Yes,GBP,8993984,5574,19215.808319,12823.847412
2017/05,SCA_UK_Zenith,543450,Active,,Yes,GBP,2606122,2375,29398.786172,20578.773317
2017/05,Christies_UK_Zenith International,914143,Active,,No,GBP,2662021,3076,24978.626340,17421.992088
2017/05,Costa_UK_Zenith,586631,Active,,No,GBP,805789,3288,5653.845760,3912.410108
2017/05,Costa_UK_Zenith,586631,Active,,Yes,GBP,3559582,14093,11941.565087,8010.473869
2017/05,Delta Airline_UK_Zenith International,117532,Active,,Yes,GBP,3238252,2044,19940.090302,12286.363616
2017/05,John Frieda_UK_Zenith,272335,Active,,No,GBP,114629,617,2384.894183,1656.445526
2017/05,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,No,GBP,8818490,20637,78982.033738,55126.551109
,,,,,,,365276763,356913,,

Report Time:,2017/06/01 10:19 GMT
Date Range:,2017/05/01 to 2017/05/31
Group By:,Month
Group By:,Advertiser
Group By:,Advertiser ID
Group By:,Advertiser Status
Group By:,Advertiser Integration Code
Group By:,Public Inventory
Group By:,Advertiser Currency
Filter by Partner ID:,151
