"Advertiser","Placement ID","Placement Name","Date","Impressions","Spend","Clicks"
"","","","Totals","20,638,583","581,074.01","115,082"
"","","","Average","111,560","3,140.94","622"
"Aviva","4146","VMX UK - Africam","May 2017","21","0.32","0"
"Omega Pharma","4146","VMX UK - Africam","May 2017","1,123","20.19","4"
"SCA","4146","VMX UK - Africam","May 2017","323","5.81","1"
"Birds Eye","4146","VMX UK - Africam","May 2017","125","2.25","0"
"Aviva","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","May 2017","14,349","215.24","284"
"Omega Pharma","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","May 2017","15,965","278.01","307"
"Aviva","4461","VMX UK - Digiteka","May 2017","761","11.42","4"
"Omega Pharma","4461","VMX UK - Digiteka","May 2017","86,501","1,558.02","190"
"Birds Eye","4461","VMX UK - Digiteka","May 2017","34,463","620.33","29"
"Aviva","4822","AOD UK - Adx Non YT","May 2017","315","4.73","1"
"Omega Pharma","4822","AOD UK - Adx Non YT","May 2017","3","0.04","0"
"SCA","4822","AOD UK - Adx Non YT","May 2017","38,191","687.44","125"
"Birds Eye","4822","AOD UK - Adx Non YT","May 2017","139,035","2,502.63","364"
"Omega Pharma","5112","VMX UK - Venatus KIDS ONLY Mobile Apps","May 2017","6,079","109.42","45"
"Aviva","5169","AOD UK - Adx BT Preferred Deal","May 2017","4","0.06","0"
"Birds Eye","5169","AOD UK - Adx BT Preferred Deal","May 2017","7","0.13","0"
"Omega Pharma","6076","VMX UK - Spot Xchange Hearst PMP","May 2017","6","0.11","0"
"SCA","6076","VMX UK - Spot Xchange Hearst PMP","May 2017","4","0.07","0"
"Birds Eye","6076","VMX UK - Spot Xchange Hearst PMP","May 2017","20","0.36","0"
"Aviva","6162","VMX UK - Trinity Mirror mobile web","May 2017","5","0.08","0"
"Omega Pharma","6162","VMX UK - Trinity Mirror mobile web","May 2017","7","0.13","0"
"Omega Pharma","6636","VMM UK - Vintage TV","May 2017","489","8.81","36"
"Birds Eye","6636","VMM UK - Vintage TV","May 2017","67","1.21","3"
"Aviva","6644","VMX UK - Viewster ROS Mobile Web","May 2017","18,092","271.38","28"
"Omega Pharma","6644","VMX UK - Viewster ROS Mobile Web","May 2017","465,563","8,370.65","1,085"
"Birds Eye","6644","VMX UK - Viewster ROS Mobile Web","May 2017","228,273","4,108.91","372"
"Aviva","7606","VMX UK - Vungle Mobile App","May 2017","561","8.42","2"
"Omega Pharma","7606","VMX UK - Vungle Mobile App","May 2017","16,362","294.55","222"
"Birds Eye","7606","VMX UK - Vungle Mobile App","May 2017","435,929","7,846.72","2,893"
"Aviva","8083","VMX UK - Viewster ROS Mobile App","May 2017","62","0.93","0"
"Omega Pharma","8083","VMX UK - Viewster ROS Mobile App","May 2017","2,734","49.21","13"
"Birds Eye","8083","VMX UK - Viewster ROS Mobile App","May 2017","6,055","108.99","30"
"Aviva","8446","VMX UK - IBTimes 60s","May 2017","2,122","31.83","13"
"Omega Pharma","8446","VMX UK - IBTimes 60s","May 2017","2,871","43.06","6"
"SCA","8446","VMX UK - IBTimes 60s","May 2017","32,748","589.46","49"
"Birds Eye","8446","VMX UK - IBTimes 60s","May 2017","15,896","286.13","78"
"Birds Eye","8630","VMM UK - Vungle Premium Mobile App","May 2017","638","11.48","4"
"Aviva","9141","VMM UK - Hoopla RON","May 2017","41,412","621.18","1,978"
"Omega Pharma","9141","VMM UK - Hoopla RON","May 2017","4,351","65.26","294"
"Omega Pharma","9271","VMM UK - Discovery Channel QuestTV PC Tag 1","May 2017","28","0.50","0"
"Omega Pharma","9274","VMM UK - Discovery Channel - Quest TV Mobile - Tag 1","May 2017","36","0.65","1"
"Aviva","9275","AOD UK - Adx ESPN PMP","May 2017","104","1.56","5"
"Omega Pharma","9275","AOD UK - Adx ESPN PMP","May 2017","10,674","192.56","160"
"SCA","9275","AOD UK - Adx ESPN PMP","May 2017","210","3.78","26"
"Birds Eye","9275","AOD UK - Adx ESPN PMP","May 2017","13,926","250.67","171"
