Date,Advertiser,Advertiser Currency Code,Inventory Contract,Impressions,Clicks,Advertiser Cost (Adv Currency),Media Cost (Adv Currency)
01/08/2017,Mercedes-Benz_UK_Zenith,GBP,,1449832,1242,"60,785,254,835,767,500","3,791,491,385,063,600"
01/08/2017,New Look_UK_Performics,GBP,,0,1,0,0
01/08/2017,Omega Pharma_UK_Zenith,GBP,Sharethrough - Channel - Health & Fitness - Global - Multi-publisher - Native - RON - All Devices - 9544x9544 (Native creatives needed) - $2-$3 CPM Guidance,7297,20,"13,246,056,455,008,200","8,042,509,367,747,220"
01/08/2017,Omega Pharma_UK_Zenith,GBP,Sharethrough - Channel - Home & Garden - Global - Multi-publisher - Native - RON - All Devices - 9544x9544 (Native creatives needed) - $2-$3 CPM Guidance,12327,96,"23,459,848,329,244,900","14,344,135,325,316,700"
01/08/2017,Oracle_UK_Zenith International,GBP,,0,0,0,0
02/08/2017,Mercedes-Benz_UK_Zenith,GBP,PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_New C-Class Skin June,36518,462,"41,120,356,835,904,400","37,113,616,491,471,200"
02/08/2017,Mercedes-Benz_UK_Zenith,GBP,,1436842,1290,"60,771,154,468,726,200","37,985,490,846,872,600"
02/08/2017,Omega Pharma_UK_Zenith,GBP,Sharethrough - Channel - Health & Fitness - Global - Multi-publisher - Native - RON - All Devices - 9544x9544 (Native creatives needed) - $2-$3 CPM Guidance,9199,28,"16,169,725,663,165,300","9,768,294,348,553,080"
02/08/2017,Omega Pharma_UK_Zenith,GBP,Sharethrough - Channel - Home & Garden - Global - Multi-publisher - Native - RON - All Devices - 9544x9544 (Native creatives needed) - $2-$3 CPM Guidance,9435,52,"18,856,657,587,505,800","11,609,369,916,911,400"
02/08/2017,Oracle_UK_Zenith International,GBP,,0,0,0,0
03/08/2017,Mercedes-Benz_UK_Zenith,GBP,PMP_SublimeSkinz_Mercedes Verticals_Floor: £14_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin,4208,91,"58,485,130,887,663,200","40,433,986,058,427,400"
03/08/2017,Mercedes-Benz_UK_Zenith,GBP,PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_NEW,21291,405,"29,371,644,608,516,100","203,043,324,269,016"
03/08/2017,Mercedes-Benz_UK_Zenith,GBP,PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_New C-Class Skin June,36905,514,"4,198,904,973,692,510","37,902,734,870,553,700"
03/08/2017,Mercedes-Benz_UK_Zenith,GBP,,1435453,1206,"60,612,271,544,487,800","37,883,963,272,596,500"
03/08/2017,New Look_UK_Performics,GBP,,0,1,0,0
03/08/2017,Omega Pharma_UK_Zenith,GBP,Sharethrough - Channel - Health & Fitness - Global - Multi-publisher - Native - RON - All Devices - 9544x9544 (Native creatives needed) - $2-$3 CPM Guidance,10068,43,"1,739,230,079,216,550","10,479,338,681,918,100"
03/08/2017,Omega Pharma_UK_Zenith,GBP,Sharethrough - Channel - Home & Garden - Global - Multi-publisher - Native - RON - All Devices - 9544x9544 (Native creatives needed) - $2-$3 CPM Guidance,8763,35,"17,588,321,779,459,800","10,836,295,771,020,500"
