Date	Advertiser	Advertiser Currency Code	Inventory Contract	Impressions	Clicks	Advertiser Cost (Adv Currency)	Media Cost (Adv Currency)
01/04/2017	John Frieda_UK_Zenith	GBP	PMP_Sublime Skinz_ROS_Floor 20_Improve Digital_TheTradeDesk_John Frieda_Sheer Blonde_UK_Standard	32730	265	943.95621134576914	660.77006487678001
01/04/2017	Just Energy_CA_ZenithOptiMedia	GBP		362929	647	1608.9236094208965	1278.649816789794
01/04/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_Mercedes Verticals_Floor: £14_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin	12279	211	196.11693244840595	135.79585101623947
01/04/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_NEW	12648	177	183.94231033388938	127.22908347635652
01/04/2017	Mercedes-Benz_UK_Zenith	GBP		1636451	2359	7348.6256904456498	4504.8108900060243
01/04/2017	Omega Pharma_UK_Zenith	GBP		105131	183	532.67127403142447	328.62807993533473
01/04/2017	RBS_UK_Zenith	GBP		5	0	0.036912583616134	0.0255547327464
02/04/2017	John Frieda_UK_Zenith	GBP	PMP_Sublime Skinz_ROS_Floor 20_Improve Digital_TheTradeDesk_John Frieda_Sheer Blonde_UK_Standard	32669	238	942.35022406441147	659.6458725600823
02/04/2017	Just Energy_CA_ZenithOptiMedia	GBP		16302	34	69.144988731533871	54.567655326078188
02/04/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_Mercedes Verticals_Floor: £14_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin	10947	209	174.74436791404114	120.99708757535032
02/04/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_NEW	11716	130	170.25896332108852	117.76428597571608
02/04/2017	Mercedes-Benz_UK_Zenith	GBP		1638739	2356	7334.3699479605421	4489.6489624448422
02/04/2017	Omega Pharma_UK_Zenith	GBP		93875	145	500.24090322615537	308.14905135133423
02/04/2017	RBS_UK_Zenith	GBP		0	0	0	0
03/04/2017	John Frieda_UK_Zenith	GBP	PMP_Sublime Skinz_ROS_Floor 20_Improve Digital_TheTradeDesk_John Frieda_Sheer Blonde_UK_Standard	34700	230	1000.6684422689703	700.46866959596017
03/04/2017	Just Energy_CA_ZenithOptiMedia	GBP		0	0	0	0
03/04/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_Mercedes Verticals_Floor: £14_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin	11157	171	178.09985860364434	123.32044821575775
03/04/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_NEW	11639	136	169.1200135714006	116.9762455392582
03/04/2017	Mercedes-Benz_UK_Zenith	GBP		1652242	2149	7405.6370911034265	4521.3839129673667
03/04/2017	Omega Pharma_UK_Zenith	GBP		371	1	2.259334297612881	1.417909193986178
04/04/2017	John Frieda_UK_Zenith	GBP	PMP_Sublime Skinz_ROS_Floor 20_Improve Digital_TheTradeDesk_John Frieda_Sheer Blonde_UK_Standard	33618	330	974.70295375977301	682.29280791873357
04/04/2017	Just Energy_CA_ZenithOptiMedia	GBP		0	0	0	0
04/04/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_Mercedes Verticals_Floor: £14_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin	10911	208	175.15080468013751	121.27815898092128
04/04/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_NEW	11626	197	169.85638024187947	117.48516416489841
04/04/2017	Mercedes-Benz_UK_Zenith	GBP		1609706	2184	7379.1134282413521	4513.1266445290614
05/04/2017	John Frieda_UK_Zenith	GBP	PMP_Sublime Skinz_ROS_Floor 20_Improve Digital_TheTradeDesk_John Frieda_Sheer Blonde_UK_Standard	31276	207	910.0022844372075	637.00229025277943
05/04/2017	Just Energy_CA_ZenithOptiMedia	GBP		0	1	0	0
05/04/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_Mercedes Verticals_Floor: £14_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin	11846	209	173.80299310852739	120.1831517124586
05/04/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_NEW	11701	196	171.59659025579985	118.65683865196281
05/04/2017	Mercedes-Benz_UK_Zenith	GBP		1663573	2344	7364.7187058876774	4478.1516483887225
06/04/2017	John Frieda_UK_Zenith	GBP	PMP_Sublime Skinz_ROS_Floor 20_Improve Digital_TheTradeDesk_John Frieda_Sheer Blonde_UK_Standard	33092	367	959.53224665664776	671.67330142439386
06/04/2017	Just Energy_CA_ZenithOptiMedia	GBP		0	0	0	0
06/04/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_Mercedes Verticals_Floor: £14_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin	11880	196	174.93863255223068	120.97893121743382
06/04/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_NEW	11676	206	170.64598058056241	117.999372398835
06/04/2017	Mercedes-Benz_UK_Zenith	GBP		1671354	2381	7356.5808237371952	4456.209227481117
06/04/2017	Omega Pharma_UK_Zenith	GBP		0	1	0	0
