Date,Advertiser,Advertiser Currency Code,Inventory Contract,Impressions,Clicks,Advertiser Cost (Adv Currency),Media Cost (Adv Currency)
01/07/2017,John Frieda_UK_Zenith,GBP,,156190,1021,"1230,925890646428","1038,721743813379"
01/07/2017,Mercedes-Benz_UK_Zenith,GBP,PMP_SublimeSkinz_Mercedes Verticals_Floor: £14_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin,290,11,"4,686993764363389","3,52398162700439"
01/07/2017,Mercedes-Benz_UK_Zenith,GBP,PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin C-Class June,0,3,0,0
01/07/2017,Mercedes-Benz_UK_Zenith,GBP,PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_NEW,124,3,"1,338584792785997","1,20247625888544"
01/07/2017,Mercedes-Benz_UK_Zenith,GBP,PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_New C-Class Skin June,141781,2786,"1592,7614770562761","1437,2808268387366"
01/07/2017,Mercedes-Benz_UK_Zenith,GBP,,206482,330,"841,17045436487412","506,09655449860254"
01/07/2017,New Look_UK_Performics,GBP,PMP_Just Premium_MultiURL_ROS_Fixed_OpenX/Improve_TTD_New Look_UK,37076,773,"946,91555371984736","662,639933762928"
01/07/2017,New Look_UK_Performics,GBP,PMP_Mozoo_MultiURL_ROS_Fixed_SmartRTB_DBM_New Look_UK,44773,4355,"775,56329350895869","542,65135394049196"
01/07/2017,Omega Pharma_UK_Zenith,GBP,Sharethrough - Channel - Health & Fitness - Global - Multi-publisher - Native - RON - All Devices - 9544x9544 (Native creatives needed) - $2-$3 CPM Guidance,29313,113,"55,198308804266619","33,627736627164268"
01/07/2017,Omega Pharma_UK_Zenith,GBP,Sharethrough - Channel - Home & Garden - Global - Multi-publisher - Native - RON - All Devices - 9544x9544 (Native creatives needed) - $2-$3 CPM Guidance,58501,384,"111,05301489028058","67,736429963173801"
01/07/2017,Oracle_UK_Zenith International,GBP,,0,0,0,0
02/07/2017,John Frieda_UK_Zenith,GBP,,62541,869,"909,42146901766829","829,96257000729346"
02/07/2017,Mercedes-Benz_UK_Zenith,GBP,PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin C-Class June,0,1,0,0
02/07/2017,Mercedes-Benz_UK_Zenith,GBP,PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_New C-Class Skin June,159536,3150,"1806,4181286059357","1630,2417107938761"
02/07/2017,Mercedes-Benz_UK_Zenith,GBP,,202525,329,"820,25935638178819","493,64587220106759"
