Month,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Public Inventory,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),Media Cost (Advertiser Currency)
2017/04,ACER USD_UK_Zenith International,290566,Active,,No,USD,515191,286,2191.038540,1493.988167
2017/04,ACER USD_UK_Zenith International,290566,Active,,Yes,USD,17407692,10305,51832.420062,33265.285459
2017/04,Christies_UK_Zenith International,914143,Active,,No,GBP,2996747,3447,29313.858182,20310.652054
2017/04,Costa_UK_Zenith,586631,Active,,No,GBP,3103557,20230,21240.088933,14773.656933
2017/04,Elemis_UK_Zenith,960943,Active,,No,GBP,58520,99,273.462478,189.567507
2017/04,John Frieda_UK_Zenith,272335,Active,,Yes,GBP,23169,636,590.669431,398.360967
2017/04,Net-A-Porter_UK_Zenith,633491,Active,,No,GBP,76330,84,514.992417,352.860582
2017/04,Next_UK_Zenith,378754,Active,,No,GBP,24896508,29575,116367.366727,80901.089694
2017/04,Oracle (EUR)_UK_Zenith International,1627832,Active,,No,EUR,15483,1,136.016383,71.638207
2017/04,Oracle (GBP)_UK_Zenith International,1546239,Active,,No,GBP,1515,0,11.097920,5.675584
2017/04,Staples_UK_Zenith International_EUR,507840,Active,,Yes,EUR,1269416,1137,6857.430131,4421.641039
2017/04,Toyota (Non DFA)_UK_Zenith,361847,Active,,Yes,GBP,1306536,11625,26949.865456,18864.211633
2017/04,Toyota_UK_Zenith,5071,Active,,Yes,GBP,18077427,15795,113710.647416,73554.862355
2017/04,Aviva_UK_Zenith,3601,Active,,Yes,GBP,16757925,7423,57095.447511,35843.190121
2017/04,Boucheron_UK_Zenith,1688033,Active,,No,GBP,89317,11,582.017699,407.397400
2017/04,Boucheron_UK_Zenith,1688033,Active,,Yes,GBP,665334,640,6751.682677,4726.063663
2017/04,Christies_UK_Zenith International,914143,Active,,Yes,GBP,36752229,46662,154787.582039,98601.356914
2017/04,Elemis_UK_Zenith,960943,Active,,Yes,GBP,569250,885,2422.963524,1678.146325
2017/04,Entertainment One_UK_Zenith,8451,Active,,No,GBP,833410,10183,17394.534759,12157.467950
2017/04,Mercedes-Benz_UK_Zenith/Ninah (non-DFA),365138,Active,,No,GBP,348992,727,2768.227899,1936.830002
2017/04,Net-a-Porter_UK_Zenith_2,1667333,Active,,Yes,GBP,420501,440,3761.096587,2600.524701
2017/04,Stella McCartney_UK_Zenith,1645637,Active,,Yes,GBP,367535,450,3499.442150,2441.066721
2017/04,Costa_UK_Zenith,586631,Active,,Yes,GBP,7226351,28608,26100.232577,17228.991565
2017/04,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,No,GBP,8502509,42687,92572.663030,64705.164314
2017/04,Natwest (DFA)_UK_Zenith,333265,Active,,Yes,GBP,50588802,17286,113049.772038,74702.651037
2017/04,Net-A-Porter_UK_Zenith,633491,Active,,Yes,GBP,833210,442,5687.514511,3805.941197
2017/04,Pomellato_UK_Zenith,1125852,Active,,No,GBP,263471,219,2613.533829,1829.406357
2017/04,SCA_UK_Zenith,543450,Active,,Yes,GBP,14022079,20077,115468.577597,80826.523576
2017/04,Stella McCartney_UK_Zenith,1645637,Active,,No,GBP,1673190,2492,14350.973398,10044.379866
2017/04,Entertainment One_UK_Zenith,8451,Active,,Yes,GBP,2229277,12994,28100.742561,19593.115049
2017/04,Lexus_UK_Zenith,5072,Active,,No,GBP,6429673,7335,76963.149087,53796.395850
2017/04,Mercedes-Benz_UK_Zenith/Ninah (non-DFA),365138,Active,,Yes,GBP,2338655,3220,16190.765130,11307.757974
2017/04,Natwest (DFA)_UK_Zenith,333265,Active,,No,GBP,8492666,3153,48609.595617,33785.673336
2017/04,Net-a-Porter_UK_Zenith_2,1667333,Active,,No,GBP,52088,50,409.452011,276.680202
2017/04,Next_UK_Zenith,378754,Active,,Yes,GBP,164382146,144336,353748.773010,237160.577453
2017/04,Pomellato_UK_Zenith,1125852,Active,,Yes,GBP,1283882,1236,13067.562498,9147.053471
2017/04,RBS (DFA)_UK_Zenith,333264,Active,,No,GBP,1208696,600,6042.669791,4133.492273
2017/04,Toyota_UK_Zenith,5071,Active,,No,GBP,13386112,21465,132865.440833,91729.701719
2017/04,ACER_UK_Zenith,283933,Active,,No,GBP,980123,1694,5478.752594,3728.512159
2017/04,ACER_UK_Zenith,283933,Active,,Yes,GBP,6940640,5873,18034.573838,11908.410220
2017/04,Aviva_UK_Zenith,3601,Active,,No,GBP,2980555,1461,14044.395636,9374.820229
2017/04,John Frieda_UK_Zenith,272335,Active,,No,GBP,851,7,17.864971,11.968025
2017/04,Lexus_UK_Zenith,5072,Active,,Yes,GBP,2595087,2528,24167.109379,15487.930166
2017/04,Oracle (EUR)_UK_Zenith International,1627832,Active,,Yes,EUR,9499601,4111,33525.477236,10517.898442
2017/04,Oracle (GBP)_UK_Zenith International,1546239,Active,,Yes,GBP,3276540,1197,8511.564897,2232.888000
2017/04,RBS (DFA)_UK_Zenith,333264,Active,,Yes,GBP,10288945,5824,22883.109418,15410.154650
2017/04,Staples_UK_Zenith International_EUR,507840,Active,,No,EUR,372031,234,2784.398616,1923.858294
2017/04,Toyota (Non DFA)_UK_Zenith,361847,Active,,No,GBP,357170,2163,6701.453340,4690.844717
,,,,,,,446756934,491933,,

Report Time:,2017/05/02 08:51 GMT
Date Range:,2017/04/01 to 2017/04/30
Group By:,Month
Group By:,Advertiser
Group By:,Advertiser ID
Group By:,Advertiser Status
Group By:,Advertiser Integration Code
Group By:,Public Inventory
Group By:,Advertiser Currency
Filter by Partner ID:,151
