"Advertiser","Placement ID","Placement Name","Date","Impressions","Spend","Clicks"
"","","","Totals","78,188,167","1,894,714.08","457,771"
"","","","Average","70,313","1,703.88","412"
"RBS","4146","VMX UK - Africam","January 2017","334","7.01","1"
"RBS","4146","VMX UK - Africam","February 2017","184","3.86","0"
"RBS","4146","VMX UK - Africam","March 2017","2,177","45.72","3"
"Costa Coffee","4146","VMX UK - Africam","March 2017","367","5.14","1"
"Aviva","4146","VMX UK - Africam","February 2017","476","7.38","0"
"Aviva","4146","VMX UK - Africam","March 2017","658","9.87","11"
"Omega Pharma","4146","VMX UK - Africam","January 2017","1,252","18.78","12"
"Omega Pharma","4146","VMX UK - Africam","February 2017","8,004","134.69","34"
"Omega Pharma","4146","VMX UK - Africam","March 2017","792","11.88","11"
"SCA","4146","VMX UK - Africam","February 2017","976","22.33","1"
"SCA","4146","VMX UK - Africam","March 2017","4,147","99.26","6"
"Birds Eye","4146","VMX UK - Africam","February 2017","97","1.75","1"
"John Frieda","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","February 2017","2,354","53.54","11"
"John Frieda","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","March 2017","27,295","673.70","129"
"RBS","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","January 2017","4,452","93.49","54"
"RBS","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","February 2017","658","13.82","2"
"RBS","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","March 2017","88","1.85","0"
"Mercedes UK","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","January 2017","3,949","86.88","33"
"Mercedes UK","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","February 2017","1,913","42.09","11"
"Mercedes UK","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","March 2017","25,792","560.29","200"
"Toyota","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","January 2017","2,285","60.43","17"
"Toyota","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","February 2017","2,071","55.40","15"
"Toyota","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","March 2017","8,334","221.56","75"
"Lexus","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","January 2017","6,225","136.95","47"
"Lexus","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","February 2017","12,369","272.61","84"
"Aviva","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","January 2017","414","9.94","10"
"Aviva","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","February 2017","381","5.71","3"
"Aviva","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","March 2017","12,706","190.59","85"
"Omega Pharma","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","January 2017","4,102","61.53","30"
"Omega Pharma","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","February 2017","373","5.59","1"
"Omega Pharma","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","March 2017","1,528","22.92","15"
"Omega Pharma","4432","VMX UK - SGN","January 2017","2","0.03","0"
"John Frieda","4461","VMX UK - Digiteka","February 2017","544","8.79","1"
"John Frieda","4461","VMX UK - Digiteka","March 2017","317","5.33","1"
"RBS","4461","VMX UK - Digiteka","January 2017","11,592","243.43","25"
"RBS","4461","VMX UK - Digiteka","February 2017","6,700","140.70","8"
"RBS","4461","VMX UK - Digiteka","March 2017","11,326","237.85","54"
"Costa Coffee","4461","VMX UK - Digiteka","March 2017","3,482","48.73","6"
"E One","4461","VMX UK - Digiteka","February 2017","7,506","165.13","33"
"Aviva","4461","VMX UK - Digiteka","January 2017","2,006","48.14","9"
"Aviva","4461","VMX UK - Digiteka","February 2017","20,904","430.36","58"
"Aviva","4461","VMX UK - Digiteka","March 2017","14,710","220.65","50"
"Omega Pharma","4461","VMX UK - Digiteka","January 2017","84,863","1,272.94","134"
"Omega Pharma","4461","VMX UK - Digiteka","February 2017","57,590","863.85","93"
"Omega Pharma","4461","VMX UK - Digiteka","March 2017","6,524","97.86","15"
"SCA","4461","VMX UK - Digiteka","February 2017","5,396","121.95","0"
"SCA","4461","VMX UK - Digiteka","March 2017","731","16.37","7"
"Birds Eye","4461","VMX UK - Digiteka","January 2017","54,945","989.01","55"
"Birds Eye","4461","VMX UK - Digiteka","February 2017","31,781","572.06","77"
"Birds Eye","4461","VMX UK - Digiteka","March 2017","2,863","51.53","19"
"RBS","4469","VMM UK - Vidzone 4 - Playstation","January 2017","848","17.81","0"
"RBS","4469","VMM UK - Vidzone 4 - Playstation","February 2017","91","1.91","0"
"RBS","4469","VMM UK - Vidzone 4 - Playstation","March 2017","195","4.10","0"
