Month,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Public Inventory,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),Media Cost (Advertiser Currency)
2017/06,ACER USD_UK_Zenith International,290566,Active,,Yes,USD,1,0,0.005823,0.003150
2017/06,Birkenstock_UK_Zenith_GBP,1498973,Active,,Yes,GBP,141241,154,1698.761375,1189.089202
2017/06,Entertainment One_UK_Zenith,8451,Active,,No,GBP,449624,1382,8003.665527,5549.397703
2017/06,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,No,GBP,10364915,25943,79441.151087,55455.132245
2017/06,Mercedes-Benz_UK_Zenith/Ninah (non-DFA),365138,Active,,Yes,GBP,2022542,1645,12541.590560,8764.941245
2017/06,Natwest (DFA)_UK_Zenith,333265,Active,,No,GBP,9309284,2786,45362.990635,31379.301679
2017/06,Natwest (DFA)_UK_Zenith,333265,Active,,Yes,GBP,57406885,18961,133704.463335,88723.671879
2017/06,Net-a-Porter_UK_Zenith_2,1667333,Active,,Yes,GBP,1261143,961,9609.559261,6291.406738
2017/06,RBS (DFA)_UK_Zenith,333264,Active,,Yes,GBP,6076608,2738,14590.510112,9886.190942
2017/06,Stella McCartney_UK_Zenith,1645637,Active,,No,GBP,985748,1737,6995.977402,4894.821880
2017/06,Aviva_UK_Zenith,3601,Active,,No,GBP,1673472,631,7262.316894,4777.133293
2017/06,Aviva_UK_Zenith,3601,Active,,Yes,GBP,10849400,4073,39956.790453,25464.983670
2017/06,Costa_UK_Zenith,586631,Active,,No,GBP,1005182,4724,7308.785704,5079.184147
2017/06,Costa_UK_Zenith,586631,Active,,Yes,GBP,2083158,4865,7150.158813,4725.730320
2017/06,Entertainment One_UK_Zenith,8451,Active,,Yes,GBP,2331910,6403,23365.309598,16334.488242
2017/06,Omega_UK_Zenith,201041,Active,,No,GBP,2969548,12818,21722.175168,14355.590675
2017/06,Oracle (EUR)_UK_Zenith International,1627832,Active,,Yes,EUR,27,0,0.076124,0.019602
2017/06,Oracle (GBP)_UK_Zenith International,1546239,Active,,Yes,GBP,12,2,0.023709,0.002603
2017/06,Staples_UK_Zenith International_EUR,507840,Active,,No,EUR,299906,210,1443.884105,992.263331
2017/06,Stella McCartney_UK_Zenith,1645637,Active,,Yes,GBP,335221,660,4292.643440,3004.008922
2017/06,Alexander McQueen_UK_Zenith,1806861,Active,,Yes,GBP,891463,727,5698.928342,3947.831855
2017/06,Elemis_UK_Zenith,960943,Active,,Yes,GBP,978659,1132,4296.879539,2968.454717
2017/06,Mercedes-Benz_UK_Zenith/Ninah (non-DFA),365138,Active,,No,GBP,1464715,3423,28041.373697,19595.654135
2017/06,Net-a-Porter_UK_Zenith_2,1667333,Active,,No,GBP,156443,216,889.141783,568.272459
2017/06,New Look_UK_Performics,1772231,Active,,Yes,GBP,1956640,2571,10504.791304,5882.409899
2017/06,Next_UK_Zenith,378754,Active,,No,GBP,6246700,12495,34782.438472,24206.816942
2017/06,Next_UK_Zenith,378754,Active,,Yes,GBP,69158669,101084,310727.071261,214655.431056
2017/06,RBS (DFA)_UK_Zenith,333264,Active,,No,GBP,932670,471,4675.410526,3215.752660
2017/06,Staples_UK_Zenith International_EUR,507840,Active,,Yes,EUR,657321,540,4831.002325,2985.598076
2017/06,Alexander McQueen_UK_Zenith,1806861,Active,,No,GBP,2268327,2844,10301.688980,7105.902225
2017/06,Christies_UK_Zenith International,914143,Active,,No,GBP,8162782,7185,60491.036380,42153.997307
2017/06,GHD_UK_Zenith,1837151,Active,,No,GBP,137693,141,681.297827,436.269128
2017/06,John Frieda_UK_Zenith,272335,Active,,No,GBP,598140,1031,12086.507892,9592.220832
2017/06,John Frieda_UK_Zenith,272335,Active,,Yes,GBP,4241751,7131,46911.046257,32790.102907
2017/06,New Look_UK_Performics,1772231,Active,,No,GBP,902747,9842,9802.415085,6427.184051
2017/06,Omega_UK_Zenith,201041,Active,,Yes,GBP,6915928,7533,24601.213344,15431.588565
2017/06,Birkenstock_UK_Zenith_GBP,1498973,Active,,No,GBP,412437,522,5524.485690,3866.997679
2017/06,Christies_UK_Zenith International,914143,Active,,Yes,GBP,44734903,23517,178510.071600,119177.437492
2017/06,Delta Airline_UK_Zenith International,117532,Active,,No,GBP,1428585,695,6891.802278,4443.716841
2017/06,Delta Airline_UK_Zenith International,117532,Active,,Yes,GBP,14033843,7987,90672.622774,57324.782132
2017/06,Elemis_UK_Zenith,960943,Active,,No,GBP,85055,150,437.327537,302.561531
2017/06,GHD_UK_Zenith,1837151,Active,,Yes,GBP,1411896,1238,7611.948270,4950.374942
2017/06,New Look (Non DCM)_UK_Zenith,8583,Active,,Yes,GBP,3099608,4053,30770.187965,21538.736986
,,,,,,,280442802,287221,,

Report Time:,2017/07/10 08:19 GMT
Date Range:,2017/06/01 to 2017/06/30
Group By:,Month
Group By:,Advertiser
Group By:,Advertiser ID
Group By:,Advertiser Status
Group By:,Advertiser Integration Code
Group By:,Public Inventory
Group By:,Advertiser Currency
Filter by Partner ID:,151
