impression_date,advertiser_name,deal_id,deal_name,Impressions,Clicks,Currency, Cost 
2017_08_01,SCA_UK_Zenith,TRN-13132-00b3d,GroundTruth_SCA_Bodyform Blackliner_320x50,"10,064",43,GBP,£54.68
2017_08_01,SCA_UK_Zenith,TRN-13132-00bff,GroundTruth_SCA_Bodyform Blackliner_320x480 2,543,3,GBP,£5.85
2017_08_01,SCA_UK_Zenith,svn_AUTOMOTIVE,Car Lovers,5,0,GBP,£0.03
2017_08_01,SCA_UK_Zenith,svn_HEALTH,Health Gurus,13,0,GBP,£0.07
2017_08_01,SCA_UK_Zenith,svn_ARTS,Arts & Popular Media,4,0,GBP,£0.02
2017_08_01,SCA_UK_Zenith,svn_FOOD,Foodies,13,0,GBP,£0.07
2017_08_01,SCA_UK_Zenith,svn_HOBBIES,Hobbyists,11,0,GBP,£0.06
2017_08_01,SCA_UK_Zenith,357293,Playground XYZ_SCA_Bodyform Blackliner,"4,052",25,GBP,£95.03
2017_08_01,SCA_UK_Zenith,TRN-13132-00b3e,GroundTruth_SCA_Bodyform Blackliner_300x250,"2,262",6,GBP,£12.26
2017_08_01,SCA_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,51,0,GBP,£0.20
2017_08_01,SCA_UK_Zenith,svn_LAWGOVT,Politicos,9,0,GBP,£0.04
2017_08_01,SCA_UK_Zenith,svn_SPORTS,Sports Enthusiats,1,0,GBP,£0.01
2017_08_01,SCA_UK_Zenith,svn_TECH,Gadget Fans,7,0,GBP,£0.04
2017_08_01,SCA_UK_Zenith,svn_NEWS,Newshounds,3,0,GBP,£0.02
2017_08_01,SCA_UK_Zenith,svn_STYLE,Fashionistas,14,0,GBP,£0.07
2017_08_01,SCA_UK_Zenith,Unknown,Unknown,"347,251",301,GBP,"£1,036.25"
2017_08_01,SCA_UK_Zenith,svn_BUSINESS,Business Buffs,11,0,GBP,£0.06
2017_08_01,SCA_UK_Zenith,svn_PETS,Pet Lovers,5,0,GBP,£0.03
2017_08_01,SCA_UK_Zenith,svn_SCIENCE,Science Buffs,2,1,GBP,£0.01
2017_08_01,SCA_UK_Zenith,svn_EDU,Secondary & Adult Ed,2,0,GBP,£0.01
2017_08_02,SCA_UK_Zenith,svn_TRAVEL,Jet Setters,1,0,GBP,£0.01
2017_08_02,SCA_UK_Zenith,TRN-13132-00bff,GroundTruth_SCA_Bodyform Blackliner_320x480 2,"1,450",20,GBP,£15.61
2017_08_02,SCA_UK_Zenith,svn_AUTOMOTIVE,Car Lovers,1,0,GBP,£0.00
2017_08_02,SCA_UK_Zenith,svn_FAMILY,Family Matters,1,0,GBP,£0.00
2017_08_02,SCA_UK_Zenith,Sovrn_HV1,High Viewability,7,0,GBP,£0.04
2017_08_02,SCA_UK_Zenith,svn_ARTS,Arts & Popular Media,3,0,GBP,£0.01
2017_08_02,SCA_UK_Zenith,4.53686E+17,PSG | HMIUK | ZENITH | BODYFORM | FEMALE HEALTH | 970x250,503,0,GBP,£8.53
2017_08_02,SCA_UK_Zenith,OX-MPO-dlJ58A,AO - OpenX RTB - Various - OX-MPO-dlJ58A,69,0,GBP,£0.31
2017_08_02,SCA_UK_Zenith,svn_SPORTS,Sports Enthusiats,1,0,GBP,£0.01
2017_08_02,SCA_UK_Zenith,357293,Playground XYZ_SCA_Bodyform Blackliner,"2,062",32,GBP,£48.11
2017_08_02,SCA_UK_Zenith,TRN-13132-00b3e,GroundTruth_SCA_Bodyform Blackliner_300x250,"1,700",6,GBP,£9.19
2017_08_02,SCA_UK_Zenith,svn_STYLE,Fashionistas,18,0,GBP,£0.09
2017_08_02,SCA_UK_Zenith,4.53686E+17,PSG | HMIUK | ZENITH | BODYFORM | FEMALE HEALTH | 300x600,46,0,GBP,£0.64
2017_08_02,SCA_UK_Zenith,svn_FINANCE,Financial Investors,8,0,GBP,£0.04
2017_08_02,SCA_UK_Zenith,svn_HOME,Home Improvement,2,0,GBP,£0.01
2017_08_02,SCA_UK_Zenith,svn_EDU,Secondary & Adult Ed,3,0,GBP,£0.01
2017_08_02,SCA_UK_Zenith,svn_NEWS,Newshounds,5,0,GBP,£0.02
2017_08_02,SCA_UK_Zenith,TRN-13132-00b3d,GroundTruth_SCA_Bodyform Blackliner_320x50,"8,858",39,GBP,£47.97
2017_08_02,SCA_UK_Zenith,Unknown,Unknown,"356,346",325,GBP,"£1,027.43"
2017_08_02,SCA_UK_Zenith,svn_BUSINESS,Business Buffs,12,0,GBP,£0.06
2017_08_02,SCA_UK_Zenith,svn_PETS,Pet Lovers,9,0,GBP,£0.05
2017_08_02,SCA_UK_Zenith,svn_SCIENCE,Science Buffs,8,0,GBP,£0.04
2017_08_03,SCA_UK_Zenith,4.53686E+17,PSG | HMIUK | ZENITH | BODYFORM | FEMALE HEALTH | Standard,148,0,GBP,£1.71
2017_08_03,SCA_UK_Zenith,Unknown,Unknown,"344,646",407,GBP,"£1,011.03"
2017_08_03,SCA_UK_Zenith,svn_BUSINESS,Business Buffs,4,0,GBP,£0.02
