"Advertiser","Placement ID","Placement Name","Date","Impressions","Spend","Clicks"
"","","","Totals","13,519,409","404,313.93","68,515"
"","","","Average","68,977","2,062.83","350"
"RBS","4146","VMX UK - Africam","August 2017","25","0.60","1"
"Merial","4146","VMX UK - Africam","August 2017","551","11.02","8"
"Aviva","4146","VMX UK - Africam","August 2017","309","5.56","16"
"Omega Pharma","4146","VMX UK - Africam","August 2017","186","3.35","2"
"SCA","4146","VMX UK - Africam","August 2017","1,782","39.08","59"
"Birds Eye","4146","VMX UK - Africam","August 2017","211","3.80","1"
"Aviva","4401","VMX UK - Venatus Tier 1 [Kids Gaming] VPAID 2.0","August 2017","460","8.28","13"
"Omega Pharma","4401","VMX UK - Venatus Tier 1 [Kids Gaming] VPAID 2.0","August 2017","277","4.99","0"
"Merial","4461","VMX UK - Digiteka","August 2017","852","17.04","5"
"Omega Pharma","4461","VMX UK - Digiteka","August 2017","76","1.37","0"
"Birds Eye","4461","VMX UK - Digiteka","August 2017","1,128","20.30","1"
"Merial","4822","AOD UK - Adx Non YT","August 2017","22,643","452.86","202"
"Mercedes UK","4822","AOD UK - Adx Non YT","August 2017","9,860","244.41","96"
"Aviva","4822","AOD UK - Adx Non YT","August 2017","2,410","43.38","37"
"SCA","4822","AOD UK - Adx Non YT","August 2017","32,613","587.03","289"
"Birds Eye","4822","AOD UK - Adx Non YT","August 2017","95,940","1,726.92","255"
"Merial","5169","AOD UK - Adx BT Preferred Deal","August 2017","200","4.00","8"
"Aviva","5169","AOD UK - Adx BT Preferred Deal","August 2017","22","0.40","4"
"SCA","5169","AOD UK - Adx BT Preferred Deal","August 2017","1","0.03","1"
"Birds Eye","5169","AOD UK - Adx BT Preferred Deal","August 2017","4,127","74.29","13"
"SCA","6076","VMX UK - Spot Xchange Hearst PMP","August 2017","62","1.12","0"
"Mercedes UK","6162","VMX UK - Trinity Mirror mobile web","August 2017","86,066","1,997.68","96"
"Aviva","6162","VMX UK - Trinity Mirror mobile web","August 2017","144,249","2,596.48","110"
"Omega Pharma","6162","VMX UK - Trinity Mirror mobile web","August 2017","11,528","207.50","5"
"Merial","6469","VMX UK - Venatus Core Gaming VPAID 2.0","August 2017","26","0.52","1"
"Aviva","6469","VMX UK - Venatus Core Gaming VPAID 2.0","August 2017","3","0.05","0"
"Omega Pharma","6469","VMX UK - Venatus Core Gaming VPAID 2.0","August 2017","11","0.20","0"
"SCA","6469","VMX UK - Venatus Core Gaming VPAID 2.0","August 2017","947","24.13","0"
"Birds Eye","6469","VMX UK - Venatus Core Gaming VPAID 2.0","August 2017","179","3.22","0"
"Aviva","6636","VMM UK - Vintage TV","August 2017","517","9.31","22"
"Omega Pharma","6636","VMM UK - Vintage TV","August 2017","510","9.18","32"
"Birds Eye","6636","VMM UK - Vintage TV","August 2017","69","1.24","1"
"RBS","6644","VMX UK - Viewster ROS Mobile Web","August 2017","10,141","243.38","16"
"Merial","6644","VMX UK - Viewster ROS Mobile Web","August 2017","43,475","869.50","37"
"Mercedes UK","6644","VMX UK - Viewster ROS Mobile Web","August 2017","357,794","8,942.37","488"
"Omega Pharma","6644","VMX UK - Viewster ROS Mobile Web","August 2017","272","4.90","0"
"Birds Eye","6644","VMX UK - Viewster ROS Mobile Web","August 2017","1,401","25.22","6"
"Merial","7606","VMX UK - Vungle Mobile App","August 2017","164,708","3,294.16","2,054"
"Omega Pharma","7606","VMX UK - Vungle Mobile App","August 2017","15,902","286.24","77"
"Birds Eye","7606","VMX UK - Vungle Mobile App","August 2017","382,013","6,876.23","3,724"
"RBS","8083","VMX UK - Viewster ROS Mobile App","August 2017","22,201","532.82","25"
"Merial","8083","VMX UK - Viewster ROS Mobile App","August 2017","16,109","322.18","15"
"Omega Pharma","8083","VMX UK - Viewster ROS Mobile App","August 2017","162","2.92","0"
"Birds Eye","8083","VMX UK - Viewster ROS Mobile App","August 2017","2,786","50.15","5"
"Merial","8446","VMX UK - IBTimes 60s","August 2017","34,831","696.62","139"
"SCA","8446","VMX UK - IBTimes 60s","August 2017","36,950","670.02","134"
"Birds Eye","8446","VMX UK - IBTimes 60s","August 2017","4,015","72.27","145"
"Omega Pharma","8474","VMM UK - Hoopla - National Geographic","August 2017","1","0.02","0"
"Merial","8630","VMM UK - Vungle Premium Mobile App","August 2017","2,992","59.84","45"
"Birds Eye","8630","VMM UK - Vungle Premium Mobile App","August 2017","21,496","386.93","178"
"RBS","9008","VMM UK - Hoopla Mobile Web","August 2017","7,773","186.55","1,051"
"Merial","9008","VMM UK - Hoopla Mobile Web","August 2017","601","12.02","14"
"RBS","9141","VMM UK - Hoopla RON","August 2017","8,342","200.21","192"
"Mercedes UK","9271","VMM UK - Discovery Channel QuestTV PC Tag 1","August 2017","828","20.70","5"
"Omega Pharma","9271","VMM UK - Discovery Channel QuestTV PC Tag 1","August 2017","3","0.05","0"
"Mercedes UK","9273","VMM UK - Discovery Channel RON Mobile Web","August 2017","19","0.46","0"
"Mercedes UK","9274","VMM UK - Discovery Channel - Quest TV Mobile - Tag 1","August 2017","903","22.57","70"
"Merial","9275","AOD UK - Adx ESPN PMP","August 2017","236","4.72","2"
"Mercedes UK","9981","VMM UK - Box Plus tag 4 EE TV","August 2017","1,897","47.42","0"
"Merial","10110","VMM UK - The Telegraph Mobile Web","August 2017","12","0.24","0"
"Aviva","10110","VMM UK - The Telegraph Mobile Web","August 2017","7","0.13","0"
"Omega Pharma","10110","VMM UK - The Telegraph Mobile Web","August 2017","1","0.02","0"
"Birds Eye","10110","VMM UK - The Telegraph Mobile Web","August 2017","5","0.09","0"
"Aviva","10326","VMM UK - Rubicon RTB INS M/L Player","August 2017","23","0.41","0"
"Birds Eye","10326","VMM UK - Rubicon RTB INS M/L Player","August 2017","14,410","259.38","143"
"Aviva","11241","VMX UK - Venatus Mobile App EA Games","August 2017","28,976","521.57","295"
"Omega Pharma","11241","VMX UK - Venatus Mobile App EA Games","August 2017","7,994","143.89","39"
"Mercedes UK","11255","VMM UK - Discoverychannel.com RON Mobile Web","August 2017","3,895","97.37","268"
"Omega Pharma","11258","VMM UK - Discovery Channell RON PC","August 2017","1","0.02","0"
"RBS","11363","AOD UK - Perform RON Eplayer VAST","August 2017","33,208","796.99","7"
"Merial","11363","AOD UK - Perform RON Eplayer VAST","August 2017","177,472","3,549.44","25"
"Mercedes UK","11363","AOD UK - Perform RON Eplayer VAST","August 2017","30,439","748.19","44"
"Omega Pharma","11363","AOD UK - Perform RON Eplayer VAST","August 2017","4,038","72.68","0"
"Birds Eye","11363","AOD UK - Perform RON Eplayer VAST","August 2017","121,403","2,185.25","13"
"Aviva","11756","VMM UK - Snack Media NFL","August 2017","93","1.67","0"
"Omega Pharma","11756","VMM UK - Snack Media NFL","August 2017","9","0.16","0"
"Aviva","12477","VMM UK - SGN GTD","August 2017","4","0.07","0"
"Omega Pharma","12477","VMM UK - SGN GTD","August 2017","1","0.02","0"
