"Advertiser","Placement ID","Placement Name","Date","Impressions","Spend","Clicks"
"","","","Totals","15,324,995","434,737.40","72,218"
"","","","Average","74,034","2,100.18","349"
"RBS","4146","VMX UK - Africam","June 2017","14","0.29","0"
"Aviva","4146","VMX UK - Africam","June 2017","9","0.18","0"
"Omega Pharma","4146","VMX UK - Africam","June 2017","1,082","19.48","15"
"SCA","4146","VMX UK - Africam","June 2017","275","4.95","8"
"Birds Eye","4146","VMX UK - Africam","June 2017","2,689","48.40","14"
"Aviva","4401","VMX UK - Venatus Tier 1 [Kids Gaming] VPAID 2.0","June 2017","1,648","32.96","31"
"Omega Pharma","4401","VMX UK - Venatus Tier 1 [Kids Gaming] VPAID 2.0","June 2017","39,528","711.50","1,161"
"RBS","4461","VMX UK - Digiteka","June 2017","7,356","154.48","52"
"Aviva","4461","VMX UK - Digiteka","June 2017","99","1.98","0"
"Omega Pharma","4461","VMX UK - Digiteka","June 2017","22,225","400.05","41"
"Birds Eye","4461","VMX UK - Digiteka","June 2017","16,693","300.47","14"
"Aviva","4822","AOD UK - Adx Non YT","June 2017","1,904","38.08","22"
"SCA","4822","AOD UK - Adx Non YT","June 2017","43,985","791.73","446"
"Birds Eye","4822","AOD UK - Adx Non YT","June 2017","262,187","4,719.37","1,148"
"RBS","5112","VMX UK - Venatus KIDS ONLY Mobile Apps","June 2017","153","2.75","1"
"Aviva","5169","AOD UK - Adx BT Preferred Deal","June 2017","17","0.34","0"
"SCA","5169","AOD UK - Adx BT Preferred Deal","June 2017","22","0.40","0"
"Birds Eye","5169","AOD UK - Adx BT Preferred Deal","June 2017","36","0.65","0"
"Omega Pharma","6076","VMX UK - Spot Xchange Hearst PMP","June 2017","70","1.26","3"
"SCA","6076","VMX UK - Spot Xchange Hearst PMP","June 2017","1","0.02","0"
"Birds Eye","6076","VMX UK - Spot Xchange Hearst PMP","June 2017","1","0.02","0"
"RBS","6162","VMX UK - Trinity Mirror mobile web","June 2017","12,969","233.44","6"
"Aviva","6162","VMX UK - Trinity Mirror mobile web","June 2017","8,717","174.34","3"
"Omega Pharma","6162","VMX UK - Trinity Mirror mobile web","June 2017","45,486","818.75","53"
"SCA","6469","VMX UK - Venatus Core Gaming VPAID 2.0","June 2017","34","0.61","0"
"Birds Eye","6469","VMX UK - Venatus Core Gaming VPAID 2.0","June 2017","4","0.07","0"
"RBS","6636","VMM UK - Vintage TV","June 2017","43","0.90","3"
"Aviva","6636","VMM UK - Vintage TV","June 2017","169","3.38","10"
"Omega Pharma","6636","VMM UK - Vintage TV","June 2017","710","12.78","37"
"Birds Eye","6636","VMM UK - Vintage TV","June 2017","312","5.62","19"
"RBS","6644","VMX UK - Viewster ROS Mobile Web","June 2017","62,845","1,131.21","339"
"Aviva","6644","VMX UK - Viewster ROS Mobile Web","June 2017","115","2.30","2"
"Omega Pharma","6644","VMX UK - Viewster ROS Mobile Web","June 2017","185,969","3,347.44","1,182"
"Birds Eye","6644","VMX UK - Viewster ROS Mobile Web","June 2017","261,533","4,707.59","1,184"
"RBS","7606","VMX UK - Vungle Mobile App","June 2017","11,200","201.60","82"
"Aviva","7606","VMX UK - Vungle Mobile App","June 2017","41","0.82","0"
"Omega Pharma","7606","VMX UK - Vungle Mobile App","June 2017","7,184","129.31","66"
"Birds Eye","7606","VMX UK - Vungle Mobile App","June 2017","86,324","1,553.83","632"
"RBS","8083","VMX UK - Viewster ROS Mobile App","June 2017","36","0.65","0"
"Omega Pharma","8083","VMX UK - Viewster ROS Mobile App","June 2017","95","1.71","0"
"Birds Eye","8083","VMX UK - Viewster ROS Mobile App","June 2017","691","12.44","2"
"SCA","8446","VMX UK - IBTimes 60s","June 2017","26,777","481.99","86"
"Birds Eye","8446","VMX UK - IBTimes 60s","June 2017","22,142","398.56","277"
"Birds Eye","8630","VMM UK - Vungle Premium Mobile App","June 2017","151","2.72","2"
"RBS","9008","VMM UK - Hoopla Mobile Web","June 2017","2,284","47.96","138"
"RBS","9141","VMM UK - Hoopla RON","June 2017","15,540","326.34","874"
"Aviva","9141","VMM UK - Hoopla RON","June 2017","3,122","62.44","157"
"Omega Pharma","9271","VMM UK - Discovery Channel QuestTV PC Tag 1","June 2017","102","1.84","1"
"Omega Pharma","9274","VMM UK - Discovery Channel - Quest TV Mobile - Tag 1","June 2017","28","0.50","2"
"Aviva","9275","AOD UK - Adx ESPN PMP","June 2017","19","0.38","2"
"Omega Pharma","9275","AOD UK - Adx ESPN PMP","June 2017","34,496","620.93","407"
"SCA","9275","AOD UK - Adx ESPN PMP","June 2017","39,625","713.25","307"
"Birds Eye","9275","AOD UK - Adx ESPN PMP","June 2017","125,050","2,250.90","723"
"SCA","9791","VMM UK - Communicorp","June 2017","80","1.44","0"
"RBS","10084","VMX UK - Vungle Kids Safe Only Mobile App","June 2017","253","4.55","3"
"Aviva","10109","VMM UK - The Telegraph PC - VPAID","June 2017","9","0.18","0"
"Omega Pharma","10109","VMM UK - The Telegraph PC - VPAID","June 2017","36","0.65","2"
"SCA","10109","VMM UK - The Telegraph PC - VPAID","June 2017","32","0.58","2"
"Birds Eye","10109","VMM UK - The Telegraph PC - VPAID","June 2017","27","0.49","2"
"RBS","10110","VMM UK - The Telegraph Mobile Web","June 2017","244","4.39","1"
"Aviva","10110","VMM UK - The Telegraph Mobile Web","June 2017","253","5.06","1"
"Omega Pharma","10110","VMM UK - The Telegraph Mobile Web","June 2017","1,740","31.32","7"
"Birds Eye","10110","VMM UK - The Telegraph Mobile Web","June 2017","3,686","66.35","8"
"Aviva","10326","VMM UK - Rubicon RTB INS M/L Player","June 2017","18","0.36","0"
"Birds Eye","10326","VMM UK - Rubicon RTB INS M/L Player","June 2017","925","16.65","8"
"SCA","11099","VMM UK - 90 Min","June 2017","31,398","565.16","45"
"Omega Pharma","11195","VMM UK - Discovery Channel QuestTV Mobile Tag 3","June 2017","8","0.14","0"
"Omega Pharma","11196","VMM UK - Discovery Channel QuestTV PC Tag 2","June 2017","112","2.02","0"
"Aviva","11197","VMM UK - Discovery Channel QuestTV PC Tag 3","June 2017","95","1.90","0"
"Omega Pharma","11197","VMM UK - Discovery Channel QuestTV PC Tag 3","June 2017","23","0.41","0"
"Omega Pharma","11228","VMM UK - Planet Knowledge GTD - Tag 1","June 2017","166","2.99","0"
