Date,Insertion Order,Insertion Order ID,Insertion Order Status,Insertion Order Integration Code,Line Item,Line Item ID,Line Item Status,Line Item Integration Code,TrueView Ad Group ID,TrueView Ad Group,Advertiser Currency,Impressions,TrueView: Views,Clicks,Revenue (Adv Currency),Click Rate (CTR),First-Quartile Views (Video),Midpoint Views (Video),Third-Quartile Views (Video),Complete Views (Video)
2017/04/01,O-R57M_2017_SCA_Bodyform_Trapeze_TrueView_Mar Apr,3092119.0,Paused,O-R57M,SCA_Bodyform_Trapeze,778980611.0,Paused,,43622231507.0,Female 18 - 34 & Interest,GBP,147876.0,35735.0,247.0,1423.8558269999999,0.167%,83661.0,55547.0,44397.0,35739.0
2017/04/01,O-R57M_2017_SCA_Bodyform_Trapeze_TrueView_Mar Apr,3092119.0,Paused,O-R57M,SCA_Bodyform_Trapeze,778980611.0,Paused,,43622231667.0,Female 18 - 34 & keywords,GBP,6548.0,2032.0,3.0,77.899661,0.046%,4057.0,2904.0,2409.0,2052.0
2017/04/01,O-R57M_2017_SCA_Bodyform_Trapeze_TrueView_Mar Apr,3092119.0,Paused,O-R57M,SCA_Bodyform_Trapeze_Paintball category,778980608.0,Paused,,43622231467.0,Female 18 - 34 &Category,GBP,9.0,1.0,0.0,0.07163,0.000%,2.0,2.0,1.0,1.0
2017/04/02,O-R57M_2017_SCA_Bodyform_Trapeze_TrueView_Mar Apr,3092119.0,Paused,O-R57M,SCA_Bodyform_Trapeze,778980611.0,Paused,,43622231507.0,Female 18 - 34 & Interest,GBP,142880.0,41074.0,205.0,1369.065809,0.143%,87853.0,61133.0,49917.0,41243.0
2017/04/02,O-R57M_2017_SCA_Bodyform_Trapeze_TrueView_Mar Apr,3092119.0,Paused,O-R57M,SCA_Bodyform_Trapeze,778980611.0,Paused,,43622231667.0,Female 18 - 34 & keywords,GBP,10592.0,3938.0,4.0,129.93561499999998,0.038%,7237.0,5423.0,4602.0,3962.0
2017/04/02,O-R57M_2017_SCA_Bodyform_Trapeze_TrueView_Mar Apr,3092119.0,Paused,O-R57M,SCA_Bodyform_Trapeze_Paintball category,778980608.0,Paused,,43622231467.0,Female 18 - 34 &Category,GBP,6.0,1.0,0.0,0.042977999999999995,0.000%,2.0,2.0,2.0,1.0
2017/04/03,O-R57M_2017_SCA_Bodyform_Trapeze_TrueView_Mar Apr,3092119.0,Paused,O-R57M,SCA_Bodyform_Trapeze,778980611.0,Paused,,43622231507.0,Female 18 - 34 & Interest,GBP,145428.0,42962.0,196.0,1419.9822550000001,0.135%,90992.0,63370.0,51968.0,43284.0
2017/04/03,O-R57M_2017_SCA_Bodyform_Trapeze_TrueView_Mar Apr,3092119.0,Paused,O-R57M,SCA_Bodyform_Trapeze,778980611.0,Paused,,43622231667.0,Female 18 - 34 & keywords,GBP,10073.0,3836.0,15.0,127.45493799999998,0.149%,7005.0,5254.0,4459.0,3873.0
2017/04/03,O-R57M_2017_SCA_Bodyform_Trapeze_TrueView_Mar Apr,3092119.0,Paused,O-R57M,SCA_Bodyform_Trapeze_Paintball category,778980608.0,Paused,,43622231467.0,Female 18 - 34 &Category,GBP,9.0,1.0,0.0,0.043026999999999996,0.000%,2.0,2.0,2.0,1.0
2017/04/04,O-R57M_2017_SCA_Bodyform_Trapeze_TrueView_Mar Apr,3092119.0,Paused,O-R57M,SCA_Bodyform_Trapeze,778980611.0,Paused,,43622231507.0,Female 18 - 34 & Interest,GBP,28901.0,8775.0,54.0,320.57865699999996,0.187%,18259.0,12787.0,10526.0,8894.0
